datetime,HPI_inf,Fips,HPI_pre
2012-10-01,348.7751926618628,27,383.12969314539447
2012-10-01,278.0224185098432,28,270.9084123326949
2012-10-01,314.08810771183863,29,311.71798482531716
2012-10-01,417.08620165572984,30,450.0583768674556
2012-10-01,295.698928960967,31,320.41398236752957
2012-10-01,226.47663919037316,32,280.1585315970474
2012-10-01,438.5713984300964,33,460.5886647747246
2012-10-01,529.9565040141614,34,527.2769337029323
2012-10-01,329.66166252436216,35,320.9701134042131
2012-10-01,650.5843760616518,36,649.3190442600235
2012-10-01,348.54153092424053,37,321.34931044482113
2012-10-01,338.4122945983157,38,349.9693937593093
2012-10-01,274.51749244550933,39,276.23629692884674
2012-10-01,238.89576054499616,40,223.5134608391631
2012-10-01,410.62545461047443,41,438.9937854837458
2012-10-01,426.5144527687879,42,411.5044443210894
2012-10-01,515.644722584798,44,528.2175592120514
2012-10-01,354.40644053855925,45,345.01940594182173
2012-10-01,350.72626817100866,46,371.9510071856491
2012-10-01,329.2527544835232,47,313.54357934113636
2012-10-01,262.5540114792497,48,254.72148709151355
2012-10-01,368.2625815795591,49,409.03454785596506
2012-10-01,511.81267008779304,50,519.0804020605963
2012-10-01,460.6173833747564,51,458.5045147148266
2012-10-01,452.8598136856975,53,512.0205451169169
2012-10-01,239.51496414969515,54,234.58243650096006
2012-10-01,341.0526722334472,55,341.50035147076596
2012-10-01,315.4433457900478,56,321.98150571848146
2013-01-01,318.98267716535435,1,313.84709076525354
2013-01-01,340.8411584145202,2,353.73630601173693
2013-01-01,306.2163939677032,4,340.39645426874756
2013-01-01,286.10194047777924,5,265.56912514963466
2013-01-01,474.4569384759109,6,536.8660923553055
2013-01-01,398.4522087281463,8,415.30462111648865
2013-01-01,446.2618230348325,9,429.6354933135566
2013-01-01,470.22476444681706,10,470.89533446310213
2013-01-01,712.6446229814493,11,748.4482075111
2013-01-01,324.4240437741892,12,357.4750087260376
2013-01-01,295.1011237154678,13,306.9563219289735
2013-01-01,536.0443720806086,15,582.2778454052652
2013-01-01,315.0528012811958,16,352.91568051084766
2013-01-01,341.82944081142404,17,337.00928356548775
2013-01-01,281.4977071933805,18,266.6865909319648
2013-01-01,290.81081542773256,19,290.1255351462569
2013-01-01,272.0799572934739,20,271.710584630181
2013-01-01,332.1559001734953,21,331.50140941060226
2013-01-01,282.8115414386761,22,267.1910658412754
2013-01-01,518.3831843053517,23,539.1828249987482
2013-01-01,472.6198959028427,24,493.3711629524855
2013-01-01,705.6568850927532,25,750.1039679320938
2013-01-01,275.6377739223275,26,285.4458591851385
2013-01-01,348.5497611103697,27,383.65466927181967
2013-01-01,276.96323501935143,28,271.48156024047745
2013-01-01,311.2508207660483,29,315.5990078621168
2013-01-01,418.61316962498336,30,435.74922177103065
2013-01-01,295.94988389163217,31,314.9473989345118
2013-01-01,232.78119845188846,32,284.3138009471994
2013-01-01,435.1349259308688,33,461.04170290801795
2013-01-01,527.3126064326705,34,528.6114882566292
2013-01-01,329.52823168290405,35,331.4846266425367
2013-01-01,648.1853569998666,36,654.0565787255719
2013-01-01,346.1662565060724,37,329.31582509596603
2013-01-01,342.2247537701855,38,335.6025250206631
2013-01-01,271.9753156279194,39,275.63935550539713
2013-01-01,237.81562525023355,40,222.62655131586615
2013-01-01,411.88122247430937,41,452.1869732272426
2013-01-01,424.72889363405847,42,408.0202153267114
2013-01-01,510.59319364740423,44,534.8232382066205
2013-01-01,352.4331295876151,45,354.7188495480967
2013-01-01,352.58427866008276,46,364.10088447265844
2013-01-01,327.8888455892166,47,321.13225174717127
2013-01-01,263.2202962765248,48,260.5313020874563
2013-01-01,369.83852662484986,49,403.5003343486103
2013-01-01,511.662864006406,50,539.0279774164919
2013-01-01,457.8421673561991,51,468.70893728803026
2013-01-01,453.9471720272254,53,513.0108249744267
2013-01-01,237.71098358467904,54,215.3797369913155
2013-01-01,338.29487788602694,55,341.96408990170556
2013-01-01,315.0993086881089,56,333.2857261033296
2013-04-01,317.8959015160232,1,305.3153120367077
2013-04-01,339.88157142477854,2,344.26969335353374
2013-04-01,318.40477551706743,4,339.37982030647163
2013-04-01,284.92317931199284,5,267.72876652928034
2013-04-01,493.75813014965536,6,551.9127729137358
2013-04-01,404.5432655120229,8,417.01851756181935
2013-04-01,441.9917658616021,9,423.01902905501413
2013-04-01,468.0946890515342,10,468.77467056775185
2013-04-01,729.9566238616552,11,743.5176222260487
2013-04-01,333.49751577531356,12,376.9929037131695
2013-04-01,300.4554016620499,13,313.7193288565437
