StateName,Fips,Year,Month,total_number_hpa,datetime,total_number_hpa_seasonality
Indiana,18,2005,4,3834,2005-04-01,3628.544890873016
Michigan,26,2005,4,4474,2005-04-01,4348.222966269841
Ohio,39,2005,4,5362,2005-04-01,5171.668650793651
Wisconsin,55,2005,4,3618,2005-04-01,3379.295386904762
Iowa,19,2005,4,1889,2005-04-01,1709.205109126984
Kansas,20,2005,4,1310,2005-04-01,1168.9243551587301
Minnesota,27,2005,4,3635,2005-04-01,3683.4268353174602
Missouri,29,2005,4,3526,2005-04-01,3415.8152281746034
Nebraska,31,2005,4,867,2005-04-01,732.5977182539682
North Dakota,38,2005,4,424,2005-04-01,367.3883928571429
South Dakota,46,2005,4,665,2005-04-01,524.8841765873016
Delaware,10,2005,4,846,2005-04-01,820.9114583333334
District of Columbia,11,2005,4,226,2005-04-01,384.43874007936506
Florida,12,2005,4,25394,2005-04-01,24746.520833333332
Georgia,13,2005,4,8507,2005-04-01,8344.87822420635
Maryland,24,2005,4,2785,2005-04-01,2761.6981646825398
North Carolina,37,2005,4,9125,2005-04-01,9012.066964285714
South Carolina,45,2005,4,4041,2005-04-01,3853.3303571428573
Virginia,51,2005,4,5047,2005-04-01,4841.497767857143
West Virginia,54,2005,4,469,2005-04-01,442.7576884920635
Alabama,1,2005,4,2292,2005-04-01,2205.7264384920636
Kentucky,21,2005,4,2361,2005-04-01,2275.1192956349205
Mississippi,28,2005,4,1202,2005-04-01,1119.314236111111
Tennessee,47,2005,4,4068,2005-04-01,4042.813492063492
Arkansas,5,2005,4,1118,2005-04-01,1099.4578373015872
Louisiana,22,2005,4,1796,2005-04-01,1710.1190476190477
Oklahoma,40,2005,4,1681,2005-04-01,1630.562996031746
Texas,48,2005,4,18168,2005-04-01,17184.148313492064
Arizona,4,2005,4,8577,2005-04-01,8285.299603174602
Colorado,8,2005,4,4091,2005-04-01,3942.762896825397
Idaho,16,2005,4,1832,2005-04-01,1737.5892857142858
