region,sub_region,StateName,Fips,Year,Month,total_number_hpa
South,South Atlantic,West Virginia,54,2005,4,469
South,East South Central,Alabama,1,2005,4,2292
South,East South Central,Kentucky,21,2005,4,2361
South,East South Central,Mississippi,28,2005,4,1202
South,East South Central,Tennessee,47,2005,4,4068
South,West South Central,Arkansas,5,2005,4,1118
South,West South Central,Louisiana,22,2005,4,1796
South,West South Central,Oklahoma,40,2005,4,1681
South,West South Central,Texas,48,2005,4,18168
West,Mountain,Arizona,4,2005,4,8577
West,Mountain,Colorado,8,2005,4,4091
West,Mountain,Idaho,16,2005,4,1832
West,Mountain,Montana,30,2005,4,472
West,Mountain,Nevada,32,2005,4,4134
West,Mountain,New Mexico,35,2005,4,1170
West,Mountain,Utah,49,2005,4,2342
West,Mountain,Wyoming,56,2005,4,296
West,Pacific,Alaska,2,2005,4,434
West,Pacific,California,6,2005,4,18202
West,Pacific,Hawaii,15,2005,4,822
West,Pacific,Oregon,41,2005,4,2886
West,Pacific,Washington,53,2005,4,4450
North East,New England,Connecticut,9,2005,5,1107
North East,New England,Maine,23,2005,5,939
North East,New England,Massachusetts,25,2005,5,2260
North East,New England,New Hampshire,33,2005,5,882
North East,New England,Rhode Island,44,2005,5,207
North East,New England,Vermont,50,2005,5,447
North East,mid atlantic,New Jersey,34,2005,5,3030
North East,mid atlantic,New York,36,2005,5,5500
North East,mid atlantic,Pennsylvania,42,2005,5,3920
Midwest,East North Central,Illinois,17,2005,5,6286
Midwest,East North Central,Indiana,18,2005,5,3652
Midwest,East North Central,Michigan,26,2005,5,4867
Midwest,East North Central,Ohio,39,2005,5,5134
Midwest,East North Central,Wisconsin,55,2005,5,3754
Midwest,West North Central,Iowa,19,2005,5,1521
Midwest,West North Central,Kansas,20,2005,5,1164
Midwest,West North Central,Minnesota,27,2005,5,3854
Midwest,West North Central,Missouri,29,2005,5,2662
Midwest,West North Central,Nebraska,31,2005,5,943
Midwest,West North Central,North Dakota,38,2005,5,539
Midwest,West North Central,South Dakota,46,2005,5,539
South,South Atlantic,Delaware,10,2005,5,726
South,South Atlantic,District of Columbia,11,2005,5,374
South,South Atlantic,Florida,12,2005,5,22529
South,South Atlantic,Georgia,13,2005,5,10537
South,South Atlantic,Maryland,24,2005,5,2901
South,South Atlantic,North Carolina,37,2005,5,8469
South,South Atlantic,South Carolina,45,2005,5,4351
South,South Atlantic,Virginia,51,2005,5,5261
South,South Atlantic,West Virginia,54,2005,5,485
South,East South Central,Alabama,1,2005,5,3697
South,East South Central,Kentucky,21,2005,5,2060
South,East South Central,Mississippi,28,2005,5,1165
South,East South Central,Tennessee,47,2005,5,3716
South,West South Central,Arkansas,5,2005,5,1283
South,West South Central,Louisiana,22,2005,5,1905
South,West South Central,Oklahoma,40,2005,5,1407
South,West South Central,Texas,48,2005,5,17325
West,Mountain,Arizona,4,2005,5,7576
West,Mountain,Colorado,8,2005,5,3789
West,Mountain,Idaho,16,2005,5,2036
West,Mountain,Montana,30,2005,5,560
West,Mountain,Nevada,32,2005,5,4172
West,Mountain,New Mexico,35,2005,5,1359
West,Mountain,Utah,49,2005,5,2557
West,Mountain,Wyoming,56,2005,5,316
West,Pacific,Alaska,2,2005,5,302
West,Pacific,California,6,2005,5,17990
West,Pacific,Hawaii,15,2005,5,820
West,Pacific,Oregon,41,2005,5,2724
West,Pacific,Washington,53,2005,5,4284
North East,New England,Connecticut,9,2005,6,1192
North East,New England,Maine,23,2005,6,1002
North East,New England,Massachusetts,25,2005,6,2635
North East,New England,New Hampshire,33,2005,6,740
