Fips,Month,Unemployment Rate,Year
6,2,4.3,2019
6,3,4.2,2019
6,4,4.1,2019
6,5,4.1,2019
6,6,4.1,2019
6,7,4.1,2019
6,8,4.1,2019
6,9,4.1,2019
6,10,4.1,2019
6,11,4.1,2019
6,12,4.2,2019
6,1,4.2,2020
6,2,4.3,2020
6,3,4.5,2020
6,4,16.0,2020
6,5,15.6,2020
6,6,14.1,2020
6,7,13.2,2020
6,8,12.3,2020
6,9,10.6,2020
6,10,9.8,2020
6,11,8.7,2020
6,12,9.3,2020
6,1,9.0,2021
6,2,8.5,2021
6,3,8.3,2021
6,4,8.0,2021
6,5,7.7,2021
6,6,7.6,2021
6,7,7.6,2021
6,8,7.5,2021
6,9,7.5,2021
6,10,7.3,2021
8,1,2.8,2000
8,2,2.7,2000
8,3,2.7,2000
8,4,2.7,2000
8,5,2.7,2000
8,6,2.8,2000
8,7,2.8,2000
8,8,2.8,2000
8,9,2.8,2000
8,10,2.7,2000
8,11,2.7,2000
8,12,2.7,2000
8,1,2.7,2001
8,2,2.8,2001
8,3,2.9,2001
8,4,3.1,2001
8,5,3.3,2001
8,6,3.4,2001
8,7,3.7,2001
8,8,4.0,2001
8,9,4.4,2001
8,10,4.8,2001
8,11,5.2,2001
8,12,5.5,2001
8,1,5.7,2002
8,2,5.8,2002
8,3,5.8,2002
8,4,5.7,2002
8,5,5.7,2002
8,6,5.6,2002
8,7,5.6,2002
8,8,5.6,2002
8,9,5.6,2002
8,10,5.6,2002
8,11,5.7,2002
8,12,5.8,2002
8,1,5.9,2003
8,2,6.0,2003
8,3,6.1,2003
8,4,6.2,2003
8,5,6.3,2003
8,6,6.3,2003
8,7,6.3,2003
8,8,6.2,2003
8,9,6.1,2003
8,10,6.0,2003
8,11,6.0,2003
8,12,5.9,2003
8,1,5.8,2004
8,2,5.8,2004
8,3,5.7,2004
8,4,5.6,2004
8,5,5.6,2004
8,6,5.5,2004
8,7,5.5,2004
8,8,5.5,2004
8,9,5.5,2004
8,10,5.5,2004
8,11,5.4,2004
8,12,5.4,2004
8,1,5.4,2005
8,2,5.4,2005
8,3,5.3,2005
8,4,5.3,2005
8,5,5.2,2005
8,6,5.1,2005
8,7,5.0,2005
8,8,4.9,2005
8,9,4.9,2005
8,10,4.9,2005
8,11,4.8,2005
8,12,4.7,2005
8,1,4.6,2006
8,2,4.5,2006
8,3,4.4,2006
8,4,4.4,2006
8,5,4.4,2006
8,6,4.4,2006
8,7,4.3,2006
8,8,4.3,2006
8,9,4.2,2006
8,10,4.1,2006
8,11,3.9,2006
8,12,3.8,2006
8,1,3.7,2007
8,2,3.5,2007
8,3,3.5,2007
8,4,3.4,2007
8,5,3.4,2007
8,6,3.5,2007
8,7,3.6,2007
8,8,3.7,2007
8,9,3.9,2007
8,10,4.0,2007
8,11,4.1,2007
8,12,4.1,2007
8,1,4.2,2008
8,2,4.2,2008
8,3,4.3,2008
8,4,4.4,2008
8,5,4.5,2008
8,6,4.7,2008
8,7,4.8,2008
8,8,5.0,2008
8,9,5.2,2008
8,10,5.4,2008
8,11,5.7,2008
8,12,6.1,2008
8,1,6.6,2009
8,2,7.0,2009
8,3,7.4,2009
8,4,7.7,2009
8,5,8.0,2009
8,6,8.1,2009
8,7,8.1,2009
8,8,8.1,2009
8,9,8.2,2009
8,10,8.3,2009
8,11,8.4,2009
8,12,8.6,2009
8,1,8.8,2010
8,2,9.0,2010
8,3,9.1,2010
8,4,9.1,2010
8,5,9.0,2010
8,6,9.0,2010
8,7,9.1,2010
8,8,9.2,2010
8,9,9.3,2010
8,10,9.4,2010
8,11,9.4,2010
8,12,9.3,2010
8,1,9.1,2011
8,2,8.9,2011
8,3,8.8,2011
8,4,8.7,2011
8,5,8.7,2011
8,6,8.7,2011
8,7,8.7,2011
8,8,8.6,2011
8,9,8.6,2011
8,10,8.6,2011
8,11,8.5,2011
8,12,8.4,2011
8,1,8.4,2012
8,2,8.3,2012
8,3,8.3,2012
8,4,8.3,2012
8,5,8.2,2012
8,6,8.2,2012
8,7,8.1,2012
8,8,7.9,2012
8,9,7.8,2012
8,10,7.6,2012
8,11,7.5,2012
8,12,7.4,2012
8,1,7.3,2013
8,2,7.2,2013
8,3,7.1,2013
8,4,7.0,2013
8,5,6.9,2013
8,6,6.8,2013
8,7,6.8,2013
8,8,6.7,2013
8,9,6.5,2013
8,10,6.4,2013
8,11,6.2,2013
8,12,6.1,2013
8,1,6.0,2014
8,2,5.8,2014
8,3,5.6,2014
8,4,5.4,2014
8,5,5.2,2014
8,6,5.0,2014
8,7,4.8,2014
8,8,4.6,2014
8,9,4.5,2014
8,10,4.4,2014
8,11,4.3,2014
8,12,4.2,2014
8,1,4.1,2015
8,2,4.1,2015
8,3,4.1,2015
8,4,4.0,2015
8,5,3.9,2015
8,6,3.8,2015
8,7,3.7,2015
8,8,3.6,2015
8,9,3.5,2015
8,10,3.4,2015
8,11,3.4,2015
8,12,3.3,2015
8,1,3.3,2016
8,2,3.3,2016
8,3,3.3,2016
8,4,3.3,2016
8,5,3.3,2016
8,6,3.2,2016
8,7,3.2,2016
8,8,3.1,2016
8,9,3.0,2016
8,10,3.0,2016
8,11,2.9,2016
8,12,2.7,2016
8,1,2.6,2017
8,2,2.5,2017
8,3,2.4,2017
8,4,2.4,2017
8,5,2.4,2017
8,6,2.5,2017
8,7,2.6,2017
8,8,2.7,2017
8,9,2.8,2017
8,10,2.8,2017
8,11,2.8,2017
8,12,2.9,2017
8,1,2.9,2018
8,2,2.9,2018
8,3,2.9,2018
8,4,3.0,2018
8,5,3.0,2018
8,6,3.1,2018
8,7,3.1,2018
8,8,3.1,2018
8,9,3.1,2018
8,10,3.1,2018
8,11,3.1,2018
8,12,3.1,2018
8,1,3.0,2019
8,2,2.9,2019
8,3,2.8,2019
8,4,2.7,2019
8,5,2.6,2019
8,6,2.6,2019
8,7,2.6,2019
8,8,2.6,2019
8,9,2.5,2019
8,10,2.5,2019
8,11,2.5,2019
8,12,2.6,2019
8,1,2.7,2020
8,2,2.8,2020
8,3,4.7,2020
8,4,12.1,2020
8,5,11.6,2020
8,6,11.3,2020
8,7,7.4,2020
