HPI,Fips,datetime,HPI_inf
289.87,17,2003-04-01,411.5177794676806
293.97,17,2003-07-01,413.29746745562136
303.16,17,2003-10-01,426.67688529886925
306.42,17,2004-01-01,429.8761739130435
313.43,17,2004-04-01,434.8092611464968
323.77,17,2004-07-01,443.27148873755897
328.4,17,2004-10-01,449.3749947643979
335.14,17,2005-01-01,456.685038581856
342.99,17,2005-04-01,461.13100000000003
350.18,17,2005-07-01,465.5292207527976
356.52,17,2005-10-01,469.6575967741935
361.22,17,2006-01-01,472.042296
364.03,17,2006-04-01,471.7049122459098
366.79,17,2006-07-01,468.3157518319493
370.86,17,2006-10-01,474.20728767123296
373.11,17,2007-01-01,473.24783724891665
371.91,17,2007-04-01,466.1068931289292
368.9,17,2007-07-01,456.3279346478233
370.11,17,2007-10-01,459.09582583851056
368.54,17,2008-01-01,453.82491095154637
361.07,17,2008-04-01,439.15145050956306
348.95,17,2008-07-01,415.28879377077544
347.83,17,2008-10-01,418.1966795931604
346.37,17,2009-01-01,417.3147920047205
336.47,17,2009-04-01,405.0173595055406
325.85,17,2009-07-01,390.5090033702456
322.66,17,2009-10-01,389.3155393053017
317.4,17,2010-01-01,384.187398402223
313.7,17,2010-04-01,379.93230706494035
316.97,17,2010-07-01,381.6326042492031
314.82,17,2010-10-01,380.7559241092087
304.08,17,2011-01-01,366.6822713032726
297.89,17,2011-04-01,357.30230884667805
300.07,17,2011-07-01,356.1108622803433
299.98,17,2011-10-01,356.1528350398387
296.19,17,2012-01-01,350.5908761124069
292.47,17,2012-04-01,344.8180691260455
295.77,17,2012-07-01,346.1572265310144
295.85,17,2012-10-01,345.64412537772455
294.0,17,2013-01-01,341.82944081142404
295.87,17,2013-04-01,342.18306974768353
296.52,17,2013-07-01,339.3489066180914
297.69,17,2013-10-01,340.70580219125776
298.54,17,2014-01-01,338.8681050656661
304.03,17,2014-04-01,342.96527154936143
308.24,17,2014-07-01,343.5829252585564
309.54,17,2014-10-01,345.0923261984184
312.77,17,2015-01-01,347.13704567169884
315.59,17,2015-04-01,348.355635893689
316.72,17,2015-07-01,346.2280745341615
318.18,17,2015-10-01,347.3736911798492
319.7,17,2016-01-01,347.5393138788141
323.92,17,2016-04-01,350.13743827288147
328.47,17,2016-07-01,350.4953097952118
329.5,17,2016-10-01,349.69837247831595
328.4,17,2017-01-01,346.17218543046357
332.54,17,2017-04-01,348.3277667786177
336.58,17,2017-07-01,349.26171755270576
337.38,17,2017-10-01,348.35609600000004
339.1,17,2018-01-01,347.7525671258785
341.14,17,2018-04-01,346.9692857893365
342.42,17,2018-07-01,345.18294274650174
341.95,17,2018-10-01,343.38471114389785
344.97,17,2019-01-01,344.9384271593401
349.82,17,2019-04-01,346.93028056562497
353.17,17,2019-07-01,347.3830190555857
354.9,17,2019-10-01,346.21697601494566
206.03,18,2000-01-01,324.38554698795184
207.77,18,2000-04-01,323.42327099463967
210.6,18,2000-07-01,322.64018757327085
212.49,18,2000-10-01,323.45012463599306
216.99,18,2001-01-01,325.7467340608846
218.78,18,2001-04-01,325.99966248574685
220.29,18,2001-07-01,324.183527027027
222.29,18,2001-10-01,328.79295076400683
223.94,18,2002-01-01,329.554945945946
224.59,18,2002-04-01,327.0130495821727
227.03,18,2002-07-01,327.46446357615895
228.07,18,2002-10-01,328.60184785005515
229.89,18,2003-01-01,329.5888667032364
231.04,18,2003-04-01,327.9989918522542
232.65,18,2003-07-01,327.0866272189349
234.7,18,2003-10-01,330.3241357027464
236.01,18,2004-01-01,331.09808695652174
236.82,18,2004-04-01,328.53118471337575
239.48,18,2004-07-01,327.87057517024624
242.09,18,2004-10-01,331.27037905759164
243.72,18,2005-01-01,332.10979770594366
245.88,18,2005-04-01,330.572
249.54,18,2005-07-01,331.7384252288912
250.08,18,2005-10-01,329.44006451612904
250.12,18,2006-01-01,326.856816
249.65,18,2006-04-01,323.4929300941993
251.06,18,2006-07-01,320.55223058133856
253.63,18,2006-10-01,324.30888845401176
254.42,18,2007-01-01,322.7029957730143
255.25,18,2007-04-01,319.8993962817863
254.18,18,2007-07-01,314.4197192431113
254.66,18,2007-10-01,315.8880954527981
256.6,18,2008-01-01,315.98055068694526
254.67,18,2008-04-01,309.7424319419238
250.77,18,2008-07-01,298.4438194982013
250.37,18,2008-10-01,301.02033369674723
254.22,18,2009-01-01,306.2902861779024
250.19,18,2009-04-01,301.1599642603834
245.78,18,2009-07-01,294.5505688149116
245.76,18,2009-10-01,296.5294332723949
242.35,18,2010-01-01,293.34535602639806
242.64,18,2010-04-01,293.86922214292997
245.79,18,2010-07-01,295.93172160902174
245.27,18,2010-10-01,296.6393669597409
239.9,18,2011-01-01,289.2892557407758
237.81,18,2011-04-01,285.23972629772237
240.64,18,2011-07-01,285.58175725378015
241.97,18,2011-10-01,287.280156992432
239.71,18,2012-01-01,283.73725957292635
239.3,18,2012-04-01,282.1313773784069
241.4,18,2012-07-01,282.5247810277813
242.1,18,2012-10-01,282.84753339174284
242.11,18,2013-01-01,281.4977071933805
242.49,18,2013-04-01,280.44740116644397
243.31,18,2013-07-01,278.4533335668684
243.54,18,2013-10-01,278.7312004624237
243.27,18,2014-01-01,276.1319887429644
247.25,18,2014-04-01,278.9138025542862
249.71,18,2014-07-01,278.3418513700821
250.98,18,2014-10-01,279.806396683075
253.73,18,2015-01-01,281.60975348748326
256.89,18,2015-04-01,283.56120062337135
257.91,18,2015-07-01,281.93888198757764
259.74,18,2015-10-01,283.5716969861526
259.9,18,2016-01-01,282.5319602036402
264.81,18,2016-04-01,286.2431928533025
268.73,18,2016-07-01,286.7494888460659
270.29,18,2016-10-01,286.85879543904105
270.86,18,2017-01-01,285.51826475546704
276.15,18,2017-04-01,289.2605785647298
