"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2017-12",101.6831,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2018-01",101.6642,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2018-02",101.6385,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2018-03",101.6188,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2018-04",101.5697,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2018-05",101.5065,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2018-06",101.4965,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2018-07",101.5016,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2018-08",101.404,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2018-09",101.2377,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2018-10",100.9707,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2018-11",100.6712,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2018-12",100.3331,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2019-01",100.0173,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2019-02",99.87458,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2019-03",99.78261,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2019-04",99.77306,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2019-05",99.80787,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2019-06",99.85188,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2019-07",99.85384,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2019-08",99.81287,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2019-09",99.79219,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2019-10",99.83395,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2019-11",99.88519,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2019-12",99.9297,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2020-01",99.92093,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2020-02",99.76905,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2020-03",99.20777,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2020-04",98.43529,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2020-05",98.21799,
