Fips,Unemployment Rate,datetime,total_number_hpa,total_number_hpa_seasonality,Population,Apartment_seasonality,Construction_seasonality,Home_seasonality,Investment_seasonality,Mortgage_seasonality,Realtor_seasonality,Real Estate_seasonality,Real Estate Agent_seasonality,Real Estate Listings_seasonality,Rent_seasonality,zillow_seasonality
23,4.5,2015-05-01,367,285.21999007936506,1330340.3726027398,45.61359126984127,55.02222222222222,70.56283068783068,9.34198082010582,4.548677248677248,56.041964285714286,41.23470568783069,0.9421626984126982,-5.604695767195766,52.11226851851852,56.35400132275132
23,4.4,2015-06-01,492,372.32415674603175,1330160.402739726,70.6810515873016,10.508333333333333,67.63108465608465,32.17432208994709,62.05066137566138,75.45505952380952,41.89879298941799,81.1639880952381,-9.181679894179895,41.228935185185186,64.76154100529101
23,4.3,2015-07-01,344,282.03546626984127,1329986.2383561644,54.63303571428571,-1.4166666666666672,83.9739417989418,-2.316352513227513,10.118121693121694,55.414186507936506,38.58192791005291,89.26994047619047,25.42308201058201,36.378935185185185,74.39011243386243
23,4.2,2015-08-01,331,276.2557043650794,1329806.2684931506,33.27748015873016,29.219444444444445,60.646164021164026,2.878091931216931,20.965343915343915,78.39474206349206,47.87915013227513,31.572718253968254,-1.1324735449735452,45.55393518518518,58.10400132275132
23,4.1,2015-09-01,440,378.88368055555554,1329626.298630137,37.75803571428571,5.78888888888889,82.64616402116403,-1.9941302910052912,-6.142989417989418,73.69751984126984,31.315261243386242,1.7282738095238093,48.81752645502645,60.21782407407407,52.0567791005291
23,4.1,2015-10-01,356,330.3985615079365,1329452.1342465754,32.88581349206349,32.81666666666667,63.0989417989418,32.333647486772485,23.826455026455026,44.67529761904762,40.56803902116402,36.636607142857144,8.170304232804234,45.351157407407406,69.19844576719576
23,4.0,2015-11-01,242,273.8360615079365,1329272.1643835616,68.56359126984127,5.738888888888889,61.27671957671958,9.033647486772487,16.85701058201058,57.791964285714286,38.687483465608466,9.658829365079365,46.4619708994709,48.36782407407407,58.115112433862436
23,4.0,2015-12-01,272,369.6664186507936,1329098.0,44.64136904761905,5.072222222222221,60.043386243386244,27.400314153439155,19.42089947089947,69.11140873015873,35.56803902116402,-8.096726190476192,-7.513029100529102,51.601157407407406,60.22900132275132
23,4.0,2016-01-01,178,313.1783234126984,1329373.2732240437,65.89970238095238,-12.661111111111111,59.5989417989418,48.13364748677249,31.35978835978836,56.88918650793651,29.85415013227513,29.46438492063492,10.364748677248675,49.39837962962963,37.29566798941799
23,3.9,2016-02-01,192,326.02951388888886,1329648.5464480873,41.366369047619045,-2.3972222222222217,76.75449735449736,-9.60801917989418,69.5542328042328,66.77529761904762,45.1458167989418,34.93660714285714,20.72308201058201,47.34560185185185,63.09844576719577
