Unemployment Rate,total_number_hpa,total_number_hpa_seasonality,Population,Apartment_seasonality,Construction_seasonality,Home_seasonality,Investment_seasonality,Mortgage_seasonality,Realtor_seasonality,Real Estate_seasonality,Real Estate Agent_seasonality,Real Estate Listings_seasonality,Rent_seasonality,zillow_seasonality,Fips,datetime,HPI,HPI_inf,IntRate,CCI
13.5,2972,2959.1502976190477,19289322.95890411,159.47450396825397,63.342013888888886,129.33482142857144,30.710119047619052,66.86011904761905,127.21220238095239,110.24652777777777,48.62638888888889,66.37936507936507,124.98953373015873,124.80644841269842,25,2008-01-01,679.98,837.3361451913836,3.5,98.5033
21.8,3450,3792.014136904762,30012527.416438356,151.378125,21.599255952380954,165.00863095238094,19.656845238095237,45.86066468253968,102.40252976190476,100.65887896825396,35.40292658730159,84.3125992063492,173.0140873015873,40.78948412698413,26,2008-01-01,291.83,359.3632272290383,3.5,98.5033
14.3,3248,3430.7120535714284,15610726.895890411,152.57743055555557,215.60967261904761,170.703125,68.41498015873015,144.4842261904762,203.59255952380954,100.63070436507937,102.31626984126984,33.94553571428571,187.5612599206349,92.09067460317459,27,2008-01-01,360.16,443.5056708316843,3.5,98.5033
18.0,2889,3225.5855654761904,8779223.008219179,266.37906746031746,119.20114087301587,217.59255952380954,32.409375,45.46066468253968,114.73888888888888,139.3233134920635,-23.44786706349207,37.470684523809524,191.68303571428572,47.97708333333333,28,2008-01-01,259.61,319.6871035223611,3.5,98.5033
16.200000000000003,3725,3808.918898809524,17651639.758904107,159.7468253968254,102.3248015873016,184.74885912698414,48.4172123015873,52.2923115079365,156.4360119047619,115.22996031746032,44.348958333333336,89.69345238095238,167.14315476190475,45.12375992063492,29,2008-01-01,298.0,366.9610448351897,3.5,98.5033
11.399999999999999,847,916.1703869047619,2891122.728767123,145.21344246031745,14.188492063492063,146.56374007936506,4.649702380952379,-0.33645833333333375,75.11155753968254,296.6114087301587,74.44513888888888,84.25099206349206,91.80659722222222,6.812103174603175,30,2008-01-01,383.13,471.79122519364506,3.5,98.5033
9.0,2075,2124.4955357142853,5347640.610958904,100.62931547619047,89.50262896825396,193.13348214285713,76.66820436507936,3.49186507936508,48.223710317460316,108.50481150793651,74.1875496031746,33.41800595238095,159.28566468253968,15.133829365079363,31,2008-01-01,253.92,312.68036410923276,3.5,98.5033
15.3,7615,7990.715773809524,7783666.208219178,155.2919146825397,36.97251984126984,223.60188492063492,46.22678571428571,170.88730158730158,156.37549603174602,121.12132936507936,82.69821428571429,55.207142857142856,276.3654265873016,235.56210317460318,32,2008-01-01,358.72,441.73243625261495,3.5,98.5033
10.2,870,930.3645833333333,3936585.0931506846,135.62842261904763,87.72519841269842,185.5204365079365,47.810813492063495,200.8799107142857,131.48477182539682,127.58561507936507,60.61607142857142,44.64642857142857,153.27083333333331,45.84107142857143,33,2008-01-01,451.37,555.8228416350993,3.5,98.5033
13.2,6047,6050.835565476191,26029614.6,171.87321428571428,30.83814484126984,164.01517857142858,30.100843253968257,106.33611111111111,198.26215277777777,122.90297619047618,62.995089285714286,80.61463293650795,165.03983134920634,111.78080357142858,34,2008-01-01,560.99,690.8103239667553,3.5,98.5033
11.0,1492,1669.0855654761904,5963245.882191781,178.58819444444444,27.94965277777777,219.14776785714287,84.31760912698412,129.593998015873,177.3936507936508,119.35203373015872,105.39265873015873,49.653422619047625,199.63333333333333,66.30307539682539,35,2008-01-01,331.98,408.8044552496184,3.5,98.5033
14.0,13652,14477.943452380952,57390097.97534247,180.19756944444444,66.04960317460318,105.83075396825396,47.970684523809524,56.78214285714286,105.53779761904761,128.29489087301587,55.69553571428571,85.56815476190476,151.61170634920634,69.03874007936508,36,2008-01-01,636.78,784.1391078193024,3.5,98.5033
