geoName,Real Estate,year
Kentucky,18,2005-06-30
Louisiana,18,2005-06-30
Maine,57,2005-06-30
Maryland,54,2005-06-30
Massachusetts,45,2005-06-30
Michigan,38,2005-06-30
Minnesota,48,2005-06-30
Mississippi,31,2005-06-30
Missouri,38,2005-06-30
Montana,69,2005-06-30
Nebraska,42,2005-06-30
Nevada,56,2005-06-30
New Hampshire,66,2005-06-30
New Jersey,46,2005-06-30
New Mexico,37,2005-06-30
New York,52,2005-06-30
North Carolina,50,2005-06-30
North Dakota,17,2005-06-30
Ohio,33,2005-06-30
Oklahoma,38,2005-06-30
Oregon,59,2005-06-30
Pennsylvania,42,2005-06-30
Rhode Island,37,2005-06-30
South Carolina,54,2005-06-30
South Dakota,21,2005-06-30
Tennessee,47,2005-06-30
Texas,31,2005-06-30
Utah,54,2005-06-30
Vermont,52,2005-06-30
Virginia,50,2005-06-30
Washington,41,2005-06-30
West Virginia,21,2005-06-30
Wisconsin,34,2005-06-30
Wyoming,100,2005-06-30
Alabama,36,2005-07-31
Alaska,36,2005-07-31
Arizona,56,2005-07-31
Arkansas,41,2005-07-31
California,47,2005-07-31
Colorado,33,2005-07-31
Connecticut,45,2005-07-31
Delaware,46,2005-07-31
District of Columbia,53,2005-07-31
Florida,44,2005-07-31
Georgia,38,2005-07-31
Hawaii,34,2005-07-31
Idaho,100,2005-07-31
Illinois,36,2005-07-31
Indiana,17,2005-07-31
Iowa,25,2005-07-31
Kansas,32,2005-07-31
Kentucky,33,2005-07-31
Louisiana,23,2005-07-31
Maine,27,2005-07-31
Maryland,34,2005-07-31
Massachusetts,41,2005-07-31
Michigan,30,2005-07-31
Minnesota,34,2005-07-31
Mississippi,24,2005-07-31
Missouri,28,2005-07-31
Montana,91,2005-07-31
Nebraska,27,2005-07-31
Nevada,55,2005-07-31
New Hampshire,31,2005-07-31
New Jersey,35,2005-07-31
New Mexico,18,2005-07-31
New York,50,2005-07-31
North Carolina,42,2005-07-31
North Dakota,49,2005-07-31
Ohio,26,2005-07-31
Oklahoma,36,2005-07-31
Oregon,56,2005-07-31
Pennsylvania,40,2005-07-31
Rhode Island,39,2005-07-31
South Carolina,52,2005-07-31
South Dakota,34,2005-07-31
Tennessee,40,2005-07-31
Texas,33,2005-07-31
Utah,49,2005-07-31
Vermont,83,2005-07-31
Virginia,36,2005-07-31
Washington,61,2005-07-31
West Virginia,34,2005-07-31
Wisconsin,27,2005-07-31
Wyoming,76,2005-07-31
Alabama,49,2005-08-31
Alaska,36,2005-08-31
Arizona,58,2005-08-31
Arkansas,47,2005-08-31
California,48,2005-08-31
Colorado,34,2005-08-31
Connecticut,55,2005-08-31
Delaware,29,2005-08-31
District of Columbia,47,2005-08-31
Florida,51,2005-08-31
Georgia,38,2005-08-31
Hawaii,34,2005-08-31
Idaho,100,2005-08-31
Illinois,38,2005-08-31
Indiana,13,2005-08-31
Iowa,19,2005-08-31
Kansas,36,2005-08-31
Kentucky,22,2005-08-31
Louisiana,40,2005-08-31
Maine,31,2005-08-31
Maryland,39,2005-08-31
Massachusetts,36,2005-08-31
Michigan,39,2005-08-31
Minnesota,41,2005-08-31
Mississippi,33,2005-08-31
Missouri,34,2005-08-31
Montana,70,2005-08-31
Nebraska,47,2005-08-31
Nevada,72,2005-08-31
New Hampshire,29,2005-08-31
New Jersey,41,2005-08-31
New Mexico,38,2005-08-31
New York,46,2005-08-31
North Carolina,39,2005-08-31
North Dakota,40,2005-08-31
Ohio,31,2005-08-31
Oklahoma,38,2005-08-31
Oregon,57,2005-08-31
Pennsylvania,38,2005-08-31
Rhode Island,29,2005-08-31
South Carolina,53,2005-08-31
South Dakota,14,2005-08-31
Tennessee,33,2005-08-31
Texas,35,2005-08-31
Utah,57,2005-08-31
Vermont,89,2005-08-31
Virginia,36,2005-08-31
Washington,47,2005-08-31
West Virginia,21,2005-08-31
Wisconsin,27,2005-08-31
Wyoming,54,2005-08-31
Alabama,63,2005-09-30
Alaska,37,2005-09-30
Arizona,60,2005-09-30
Arkansas,50,2005-09-30
California,56,2005-09-30
Colorado,49,2005-09-30
Connecticut,53,2005-09-30
Delaware,42,2005-09-30
District of Columbia,50,2005-09-30
Florida,70,2005-09-30
Georgia,52,2005-09-30
Hawaii,48,2005-09-30
Idaho,100,2005-09-30
Illinois,43,2005-09-30
Indiana,18,2005-09-30
Iowa,16,2005-09-30
Kansas,55,2005-09-30
Kentucky,28,2005-09-30
Louisiana,61,2005-09-30
Maine,52,2005-09-30
Maryland,60,2005-09-30
Massachusetts,47,2005-09-30
Michigan,34,2005-09-30
Minnesota,41,2005-09-30
Mississippi,16,2005-09-30
Missouri,37,2005-09-30
Montana,71,2005-09-30
Nebraska,29,2005-09-30
Nevada,62,2005-09-30
New Hampshire,22,2005-09-30
New Jersey,48,2005-09-30
New Mexico,60,2005-09-30
New York,50,2005-09-30
North Carolina,42,2005-09-30
North Dakota,48,2005-09-30
Ohio,31,2005-09-30
Oklahoma,36,2005-09-30
Oregon,51,2005-09-30
