geoName,Mortgage,year
Michigan,6,2005-08-31
Minnesota,16,2005-08-31
Mississippi,0,2005-08-31
Missouri,22,2005-08-31
Montana,0,2005-08-31
Nebraska,0,2005-08-31
Nevada,26,2005-08-31
New Hampshire,0,2005-08-31
New Jersey,14,2005-08-31
New Mexico,36,2005-08-31
New York,7,2005-08-31
North Carolina,6,2005-08-31
North Dakota,0,2005-08-31
Ohio,0,2005-08-31
Oklahoma,40,2005-08-31
Oregon,21,2005-08-31
Pennsylvania,8,2005-08-31
Rhode Island,0,2005-08-31
South Carolina,36,2005-08-31
South Dakota,0,2005-08-31
Tennessee,0,2005-08-31
Texas,7,2005-08-31
Utah,18,2005-08-31
Vermont,49,2005-08-31
Virginia,9,2005-08-31
Washington,10,2005-08-31
West Virginia,0,2005-08-31
Wisconsin,8,2005-08-31
Wyoming,100,2005-08-31
Alabama,57,2005-09-30
Alaska,86,2005-09-30
Arizona,12,2005-09-30
Arkansas,0,2005-09-30
California,20,2005-09-30
Colorado,12,2005-09-30
Connecticut,0,2005-09-30
Delaware,0,2005-09-30
District of Columbia,27,2005-09-30
Florida,34,2005-09-30
Georgia,7,2005-09-30
Hawaii,0,2005-09-30
Idaho,0,2005-09-30
Illinois,25,2005-09-30
Indiana,0,2005-09-30
Iowa,0,2005-09-30
Kansas,0,2005-09-30
Kentucky,0,2005-09-30
Louisiana,0,2005-09-30
Maine,52,2005-09-30
Maryland,46,2005-09-30
Massachusetts,32,2005-09-30
Michigan,17,2005-09-30
Minnesota,48,2005-09-30
Mississippi,0,2005-09-30
Missouri,12,2005-09-30
Montana,100,2005-09-30
Nebraska,0,2005-09-30
Nevada,79,2005-09-30
New Hampshire,0,2005-09-30
New Jersey,14,2005-09-30
New Mexico,56,2005-09-30
New York,14,2005-09-30
North Carolina,9,2005-09-30
North Dakota,0,2005-09-30
Ohio,0,2005-09-30
Oklahoma,0,2005-09-30
Oregon,0,2005-09-30
Pennsylvania,17,2005-09-30
Rhode Island,48,2005-09-30
South Carolina,28,2005-09-30
South Dakota,0,2005-09-30
Tennessee,0,2005-09-30
Texas,18,2005-09-30
Utah,56,2005-09-30
Vermont,75,2005-09-30
Virginia,27,2005-09-30
Washington,23,2005-09-30
West Virginia,0,2005-09-30
Wisconsin,26,2005-09-30
Wyoming,0,2005-09-30
Alabama,28,2005-10-31
Alaska,0,2005-10-31
Arizona,23,2005-10-31
Arkansas,0,2005-10-31
California,10,2005-10-31
Colorado,24,2005-10-31
Connecticut,0,2005-10-31
Delaware,100,2005-10-31
District of Columbia,14,2005-10-31
Florida,32,2005-10-31
Georgia,6,2005-10-31
Hawaii,0,2005-10-31
Idaho,0,2005-10-31
Illinois,29,2005-10-31
Indiana,0,2005-10-31
Iowa,0,2005-10-31
Kansas,0,2005-10-31
Kentucky,0,2005-10-31
Louisiana,0,2005-10-31
Maine,0,2005-10-31
Maryland,45,2005-10-31
Massachusetts,0,2005-10-31
Michigan,8,2005-10-31
Minnesota,12,2005-10-31
Mississippi,0,2005-10-31
Missouri,11,2005-10-31
Montana,0,2005-10-31
Nebraska,0,2005-10-31
Nevada,0,2005-10-31
New Hampshire,0,2005-10-31
New Jersey,21,2005-10-31
New Mexico,0,2005-10-31
New York,3,2005-10-31
North Carolina,18,2005-10-31
North Dakota,0,2005-10-31
Ohio,14,2005-10-31
Oklahoma,0,2005-10-31
Oregon,15,2005-10-31
Pennsylvania,11,2005-10-31
Rhode Island,0,2005-10-31
South Carolina,0,2005-10-31
South Dakota,0,2005-10-31
Tennessee,49,2005-10-31
Texas,17,2005-10-31
Utah,27,2005-10-31
Vermont,0,2005-10-31
Virginia,0,2005-10-31
Washington,7,2005-10-31
West Virginia,0,2005-10-31
Wisconsin,12,2005-10-31
Wyoming,0,2005-10-31
Alabama,100,2005-11-30
Alaska,0,2005-11-30
Arizona,10,2005-11-30
Arkansas,0,2005-11-30
California,11,2005-11-30
Colorado,42,2005-11-30
Connecticut,75,2005-11-30
Delaware,0,2005-11-30
District of Columbia,0,2005-11-30
Florida,16,2005-11-30
Georgia,6,2005-11-30
Hawaii,0,2005-11-30
Idaho,57,2005-11-30
Illinois,4,2005-11-30
Indiana,0,2005-11-30
Iowa,0,2005-11-30
Kansas,25,2005-11-30
Kentucky,35,2005-11-30
Louisiana,53,2005-11-30
Maine,0,2005-11-30
Maryland,49,2005-11-30
Massachusetts,17,2005-11-30
Michigan,7,2005-11-30
Minnesota,10,2005-11-30
Mississippi,0,2005-11-30
Missouri,20,2005-11-30
Montana,83,2005-11-30
Nebraska,0,2005-11-30
Nevada,0,2005-11-30
New Hampshire,0,2005-11-30
New Jersey,24,2005-11-30
New Mexico,0,2005-11-30
New York,0,2005-11-30
North Carolina,0,2005-11-30
North Dakota,0,2005-11-30
Ohio,13,2005-11-30
Oklahoma,0,2005-11-30
Oregon,13,2005-11-30
Pennsylvania,10,2005-11-30
Rhode Island,0,2005-11-30
South Carolina,26,2005-11-30
South Dakota,0,2005-11-30
Tennessee,15,2005-11-30
Texas,12,2005-11-30
Utah,24,2005-11-30
Vermont,0,2005-11-30
Virginia,12,2005-11-30
Washington,20,2005-11-30
West Virginia,0,2005-11-30
Wisconsin,43,2005-11-30
Wyoming,0,2005-11-30
Alabama,0,2005-12-31
Alaska,94,2005-12-31
Arizona,0,2005-12-31
Arkansas,0,2005-12-31
California,32,2005-12-31
Colorado,28,2005-12-31
Connecticut,20,2005-12-31
Delaware,0,2005-12-31
District of Columbia,32,2005-12-31
Florida,25,2005-12-31
Georgia,59,2005-12-31
Hawaii,55,2005-12-31
Idaho,72,2005-12-31
Illinois,27,2005-12-31
Indiana,0,2005-12-31
Iowa,0,2005-12-31
Kansas,0,2005-12-31
Kentucky,45,2005-12-31
Louisiana,68,2005-12-31
Maine,0,2005-12-31
Maryland,27,2005-12-31
Massachusetts,38,2005-12-31
Michigan,9,2005-12-31
Minnesota,27,2005-12-31
Mississippi,0,2005-12-31
Missouri,0,2005-12-31
Montana,0,2005-12-31
Nebraska,0,2005-12-31
Nevada,87,2005-12-31
New Hampshire,100,2005-12-31
New Jersey,48,2005-12-31
New Mexico,0,2005-12-31
New York,25,2005-12-31
North Carolina,21,2005-12-31
North Dakota,0,2005-12-31
Ohio,16,2005-12-31
Oklahoma,36,2005-12-31
Oregon,50,2005-12-31
Pennsylvania,13,2005-12-31
Rhode Island,55,2005-12-31
South Carolina,0,2005-12-31
South Dakota,0,2005-12-31
Tennessee,19,2005-12-31
Texas,20,2005-12-31
Utah,31,2005-12-31
Vermont,0,2005-12-31
Virginia,31,2005-12-31
Washington,59,2005-12-31
West Virginia,0,2005-12-31
Wisconsin,0,2005-12-31
Wyoming,0,2005-12-31
Alabama,26,2006-01-31
Alaska,0,2006-01-31
Arizona,11,2006-01-31
Arkansas,0,2006-01-31
California,11,2006-01-31
Colorado,17,2006-01-31
Connecticut,8,2006-01-31
Delaware,100,2006-01-31
District of Columbia,27,2006-01-31
Florida,15,2006-01-31
Georgia,6,2006-01-31
Hawaii,0,2006-01-31
Idaho,0,2006-01-31
Illinois,11,2006-01-31
Indiana,0,2006-01-31
Iowa,0,2006-01-31
Kansas,0,2006-01-31
Kentucky,18,2006-01-31
Louisiana,28,2006-01-31
Maine,0,2006-01-31
Maryland,5,2006-01-31
Massachusetts,9,2006-01-31
Michigan,4,2006-01-31
Minnesota,11,2006-01-31
Mississippi,0,2006-01-31
Missouri,16,2006-01-31
Montana,0,2006-01-31
Nebraska,0,2006-01-31
Nevada,0,2006-01-31
New Hampshire,0,2006-01-31
New Jersey,3,2006-01-31
New Mexico,0,2006-01-31
New York,9,2006-01-31
North Carolina,17,2006-01-31
North Dakota,0,2006-01-31
Ohio,6,2006-01-31
Oklahoma,0,2006-01-31
Oregon,14,2006-01-31
Pennsylvania,13,2006-01-31
Rhode Island,23,2006-01-31
South Carolina,26,2006-01-31
South Dakota,0,2006-01-31
Tennessee,0,2006-01-31
Texas,10,2006-01-31
Utah,13,2006-01-31
Vermont,0,2006-01-31
Virginia,19,2006-01-31
Washington,4,2006-01-31
West Virginia,0,2006-01-31
Wisconsin,6,2006-01-31
Wyoming,0,2006-01-31
Alabama,27,2006-02-28
Alaska,79,2006-02-28
Arizona,33,2006-02-28
Arkansas,0,2006-02-28
California,17,2006-02-28
Colorado,46,2006-02-28
Connecticut,66,2006-02-28
Delaware,100,2006-02-28
District of Columbia,39,2006-02-28
Florida,26,2006-02-28
Georgia,44,2006-02-28
Hawaii,0,2006-02-28
Idaho,0,2006-02-28
Illinois,23,2006-02-28
Indiana,0,2006-02-28
Iowa,0,2006-02-28
Kansas,0,2006-02-28
Kentucky,0,2006-02-28
Louisiana,28,2006-02-28
Maine,0,2006-02-28
Maryland,0,2006-02-28
Massachusetts,19,2006-02-28
Michigan,15,2006-02-28
Minnesota,55,2006-02-28
Mississippi,0,2006-02-28
Missouri,22,2006-02-28
Montana,0,2006-02-28
Nebraska,0,2006-02-28
Nevada,0,2006-02-28
New Hampshire,0,2006-02-28
New Jersey,48,2006-02-28
New Mexico,0,2006-02-28
New York,28,2006-02-28
North Carolina,18,2006-02-28
North Dakota,0,2006-02-28
Ohio,13,2006-02-28
Oklahoma,0,2006-02-28
Oregon,57,2006-02-28
Pennsylvania,31,2006-02-28
Rhode Island,45,2006-02-28
South Carolina,79,2006-02-28
South Dakota,0,2006-02-28
Tennessee,16,2006-02-28
Texas,17,2006-02-28
Utah,50,2006-02-28
Vermont,0,2006-02-28
