geoName,Home,year
Utah,51,2008-03-31
Vermont,49,2008-03-31
Virginia,46,2008-03-31
Washington,50,2008-03-31
West Virginia,44,2008-03-31
Wisconsin,54,2008-03-31
Wyoming,46,2008-03-31
Alabama,44,2008-04-30
Alaska,48,2008-04-30
Arizona,76,2008-04-30
Arkansas,79,2008-04-30
California,42,2008-04-30
Colorado,51,2008-04-30
Connecticut,46,2008-04-30
Delaware,25,2008-04-30
District of Columbia,39,2008-04-30
Florida,58,2008-04-30
Georgia,58,2008-04-30
Hawaii,24,2008-04-30
Idaho,91,2008-04-30
Illinois,45,2008-04-30
Indiana,57,2008-04-30
Iowa,32,2008-04-30
Kansas,62,2008-04-30
Kentucky,44,2008-04-30
Louisiana,46,2008-04-30
Maine,65,2008-04-30
Maryland,53,2008-04-30
Massachusetts,23,2008-04-30
Michigan,62,2008-04-30
Minnesota,46,2008-04-30
Mississippi,46,2008-04-30
Missouri,53,2008-04-30
Montana,49,2008-04-30
Nebraska,49,2008-04-30
Nevada,92,2008-04-30
New Hampshire,48,2008-04-30
New Jersey,33,2008-04-30
New Mexico,100,2008-04-30
New York,35,2008-04-30
North Carolina,69,2008-04-30
North Dakota,50,2008-04-30
Ohio,43,2008-04-30
Oklahoma,86,2008-04-30
Oregon,51,2008-04-30
Pennsylvania,42,2008-04-30
Rhode Island,92,2008-04-30
South Carolina,68,2008-04-30
South Dakota,52,2008-04-30
Tennessee,54,2008-04-30
Texas,52,2008-04-30
Utah,48,2008-04-30
Vermont,63,2008-04-30
Virginia,38,2008-04-30
Washington,53,2008-04-30
West Virginia,11,2008-04-30
Wisconsin,58,2008-04-30
Wyoming,75,2008-04-30
Alabama,58,2008-05-31
Alaska,51,2008-05-31
Arizona,47,2008-05-31
Arkansas,53,2008-05-31
California,37,2008-05-31
Colorado,43,2008-05-31
Connecticut,38,2008-05-31
Delaware,37,2008-05-31
District of Columbia,31,2008-05-31
Florida,51,2008-05-31
Georgia,59,2008-05-31
Hawaii,45,2008-05-31
Idaho,62,2008-05-31
Illinois,34,2008-05-31
Indiana,38,2008-05-31
Iowa,53,2008-05-31
Kansas,41,2008-05-31
Kentucky,37,2008-05-31
Louisiana,45,2008-05-31
Maine,57,2008-05-31
Maryland,63,2008-05-31
Massachusetts,33,2008-05-31
Michigan,40,2008-05-31
Minnesota,43,2008-05-31
Mississippi,65,2008-05-31
Missouri,49,2008-05-31
Montana,34,2008-05-31
Nebraska,35,2008-05-31
Nevada,49,2008-05-31
New Hampshire,46,2008-05-31
New Jersey,32,2008-05-31
New Mexico,46,2008-05-31
New York,28,2008-05-31
North Carolina,53,2008-05-31
North Dakota,12,2008-05-31
Ohio,31,2008-05-31
Oklahoma,67,2008-05-31
Oregon,27,2008-05-31
Pennsylvania,35,2008-05-31
Rhode Island,24,2008-05-31
South Carolina,59,2008-05-31
South Dakota,74,2008-05-31
Tennessee,44,2008-05-31
Texas,44,2008-05-31
Utah,37,2008-05-31
Vermont,100,2008-05-31
Virginia,29,2008-05-31
Washington,46,2008-05-31
West Virginia,41,2008-05-31
Wisconsin,34,2008-05-31
Wyoming,80,2008-05-31
Alabama,65,2008-06-30
Alaska,52,2008-06-30
Arizona,71,2008-06-30
Arkansas,48,2008-06-30
California,40,2008-06-30
Colorado,70,2008-06-30
Connecticut,71,2008-06-30
Delaware,58,2008-06-30
District of Columbia,49,2008-06-30
Florida,66,2008-06-30
Georgia,73,2008-06-30
Hawaii,49,2008-06-30
Idaho,46,2008-06-30
Illinois,40,2008-06-30
Indiana,60,2008-06-30
Iowa,58,2008-06-30
Kansas,100,2008-06-30
Kentucky,50,2008-06-30
Louisiana,66,2008-06-30
Maine,46,2008-06-30
Maryland,56,2008-06-30
Massachusetts,32,2008-06-30
Michigan,42,2008-06-30
Minnesota,61,2008-06-30
Mississippi,51,2008-06-30
Missouri,54,2008-06-30
Montana,74,2008-06-30
Nebraska,56,2008-06-30
Nevada,61,2008-06-30
New Hampshire,51,2008-06-30
New Jersey,56,2008-06-30
New Mexico,59,2008-06-30
New York,33,2008-06-30
North Carolina,78,2008-06-30
North Dakota,42,2008-06-30
Ohio,53,2008-06-30
Oklahoma,77,2008-06-30
Oregon,58,2008-06-30
Pennsylvania,50,2008-06-30
Rhode Island,23,2008-06-30
South Carolina,82,2008-06-30
South Dakota,44,2008-06-30
Tennessee,67,2008-06-30
Texas,52,2008-06-30
Utah,63,2008-06-30
Vermont,53,2008-06-30
Virginia,41,2008-06-30
Washington,47,2008-06-30
West Virginia,37,2008-06-30
Wisconsin,40,2008-06-30
Wyoming,32,2008-06-30
Alabama,55,2008-07-31
Alaska,70,2008-07-31
Arizona,60,2008-07-31
Arkansas,100,2008-07-31
California,34,2008-07-31
Colorado,45,2008-07-31
Connecticut,29,2008-07-31
Delaware,40,2008-07-31
District of Columbia,54,2008-07-31
Florida,56,2008-07-31
Georgia,63,2008-07-31
Hawaii,31,2008-07-31
Idaho,80,2008-07-31
Illinois,39,2008-07-31
Indiana,37,2008-07-31
Iowa,25,2008-07-31
Kansas,67,2008-07-31
Kentucky,67,2008-07-31
Louisiana,43,2008-07-31
Maine,31,2008-07-31
Maryland,52,2008-07-31
Massachusetts,35,2008-07-31
Michigan,41,2008-07-31
Minnesota,40,2008-07-31
Mississippi,40,2008-07-31
Missouri,57,2008-07-31
Montana,48,2008-07-31
Nebraska,55,2008-07-31
Nevada,65,2008-07-31
New Hampshire,31,2008-07-31
New Jersey,36,2008-07-31
New Mexico,33,2008-07-31
New York,30,2008-07-31
North Carolina,49,2008-07-31
North Dakota,64,2008-07-31
Ohio,45,2008-07-31
Oklahoma,36,2008-07-31
Oregon,53,2008-07-31
Pennsylvania,44,2008-07-31
Rhode Island,53,2008-07-31
South Carolina,54,2008-07-31
South Dakota,49,2008-07-31
Tennessee,41,2008-07-31
Texas,46,2008-07-31
Utah,36,2008-07-31
Vermont,25,2008-07-31
Virginia,26,2008-07-31
Washington,46,2008-07-31
West Virginia,78,2008-07-31
Wisconsin,43,2008-07-31
Wyoming,29,2008-07-31
Alabama,77,2008-08-31
Alaska,80,2008-08-31
Arizona,100,2008-08-31
Arkansas,71,2008-08-31
California,44,2008-08-31
Colorado,74,2008-08-31
Connecticut,57,2008-08-31
Delaware,55,2008-08-31
District of Columbia,57,2008-08-31
Florida,82,2008-08-31
Georgia,75,2008-08-31
Hawaii,21,2008-08-31
Idaho,74,2008-08-31
Illinois,61,2008-08-31
Indiana,45,2008-08-31
Iowa,65,2008-08-31
Kansas,69,2008-08-31
Kentucky,41,2008-08-31
Louisiana,70,2008-08-31
Maine,54,2008-08-31
Maryland,70,2008-08-31
Massachusetts,46,2008-08-31
Michigan,70,2008-08-31
Minnesota,66,2008-08-31
Mississippi,54,2008-08-31
Missouri,63,2008-08-31
Montana,98,2008-08-31
Nebraska,76,2008-08-31
Nevada,75,2008-08-31
New Hampshire,39,2008-08-31
New Jersey,54,2008-08-31
New Mexico,75,2008-08-31
New York,41,2008-08-31
North Carolina,80,2008-08-31
North Dakota,72,2008-08-31
Ohio,65,2008-08-31
Oklahoma,71,2008-08-31
Oregon,68,2008-08-31
Pennsylvania,51,2008-08-31
Rhode Island,71,2008-08-31
South Carolina,88,2008-08-31
South Dakota,42,2008-08-31
Tennessee,86,2008-08-31
Texas,52,2008-08-31
Utah,78,2008-08-31
Vermont,52,2008-08-31
Virginia,39,2008-08-31
Washington,61,2008-08-31
West Virginia,76,2008-08-31
Wisconsin,76,2008-08-31
Wyoming,65,2008-08-31
Alabama,70,2008-09-30
Alaska,83,2008-09-30
Arizona,69,2008-09-30
Arkansas,94,2008-09-30
California,45,2008-09-30
Colorado,67,2008-09-30
Connecticut,43,2008-09-30
Delaware,16,2008-09-30
District of Columbia,53,2008-09-30
Florida,62,2008-09-30
Georgia,74,2008-09-30
Hawaii,37,2008-09-30
Idaho,55,2008-09-30
Illinois,38,2008-09-30
Indiana,34,2008-09-30
Iowa,33,2008-09-30
Kansas,35,2008-09-30
Kentucky,51,2008-09-30
Louisiana,80,2008-09-30
Maine,53,2008-09-30
Maryland,55,2008-09-30
Massachusetts,30,2008-09-30
Michigan,42,2008-09-30
Minnesota,61,2008-09-30
Mississippi,54,2008-09-30
Missouri,59,2008-09-30
Montana,47,2008-09-30
Nebraska,75,2008-09-30
Nevada,62,2008-09-30
New Hampshire,13,2008-09-30
New Jersey,48,2008-09-30
New Mexico,79,2008-09-30
New York,45,2008-09-30
North Carolina,64,2008-09-30
North Dakota,0,2008-09-30
Ohio,48,2008-09-30
Oklahoma,62,2008-09-30
Oregon,89,2008-09-30
Pennsylvania,54,2008-09-30
Rhode Island,70,2008-09-30
South Carolina,100,2008-09-30
South Dakota,35,2008-09-30
Tennessee,62,2008-09-30
Texas,55,2008-09-30
Utah,63,2008-09-30
Vermont,43,2008-09-30
Virginia,39,2008-09-30
Washington,45,2008-09-30
West Virginia,26,2008-09-30
Wisconsin,53,2008-09-30
Wyoming,37,2008-09-30
Alabama,71,2008-10-31
Alaska,67,2008-10-31
Arizona,46,2008-10-31
Arkansas,74,2008-10-31
California,49,2008-10-31
Colorado,59,2008-10-31
Connecticut,54,2008-10-31
Delaware,52,2008-10-31
District of Columbia,56,2008-10-31
Florida,71,2008-10-31
Georgia,57,2008-10-31
Hawaii,13,2008-10-31
Idaho,87,2008-10-31
Illinois,41,2008-10-31
Indiana,53,2008-10-31
Iowa,32,2008-10-31
Kansas,58,2008-10-31
Kentucky,24,2008-10-31
Louisiana,51,2008-10-31
Maine,42,2008-10-31
Maryland,56,2008-10-31
Massachusetts,34,2008-10-31
Michigan,49,2008-10-31
Minnesota,63,2008-10-31
Mississippi,26,2008-10-31
Missouri,53,2008-10-31
Montana,52,2008-10-31
Nebraska,82,2008-10-31
Nevada,85,2008-10-31
New Hampshire,7,2008-10-31
New Jersey,45,2008-10-31
New Mexico,80,2008-10-31
New York,35,2008-10-31
North Carolina,51,2008-10-31
North Dakota,34,2008-10-31
Ohio,43,2008-10-31
Oklahoma,85,2008-10-31
Oregon,43,2008-10-31
Pennsylvania,56,2008-10-31
Rhode Island,35,2008-10-31
South Carolina,45,2008-10-31
South Dakota,13,2008-10-31
Tennessee,67,2008-10-31
Texas,60,2008-10-31
Utah,65,2008-10-31
Vermont,49,2008-10-31
Virginia,36,2008-10-31
Washington,59,2008-10-31
West Virginia,75,2008-10-31
Wisconsin,44,2008-10-31
Wyoming,100,2008-10-31
Alabama,73,2008-11-30
Alaska,68,2008-11-30
Arizona,92,2008-11-30
Arkansas,56,2008-11-30
California,46,2008-11-30
Colorado,42,2008-11-30
Connecticut,38,2008-11-30
Delaware,72,2008-11-30
District of Columbia,55,2008-11-30
Florida,56,2008-11-30
Georgia,68,2008-11-30
Hawaii,68,2008-11-30
Idaho,62,2008-11-30
Illinois,38,2008-11-30
Indiana,45,2008-11-30
Iowa,48,2008-11-30
Kansas,76,2008-11-30
Kentucky,35,2008-11-30
Louisiana,64,2008-11-30
Maine,57,2008-11-30
Maryland,67,2008-11-30
Massachusetts,46,2008-11-30
Michigan,56,2008-11-30
Minnesota,60,2008-11-30
Mississippi,75,2008-11-30
Missouri,50,2008-11-30
Montana,27,2008-11-30
Nebraska,42,2008-11-30
Nevada,68,2008-11-30
New Hampshire,23,2008-11-30
New Jersey,40,2008-11-30
New Mexico,74,2008-11-30
New York,36,2008-11-30
North Carolina,83,2008-11-30
North Dakota,51,2008-11-30
Ohio,49,2008-11-30
Oklahoma,73,2008-11-30
Oregon,67,2008-11-30
Pennsylvania,53,2008-11-30
Rhode Island,36,2008-11-30
South Carolina,69,2008-11-30
South Dakota,65,2008-11-30
Tennessee,44,2008-11-30
Texas,58,2008-11-30
Utah,47,2008-11-30
Vermont,34,2008-11-30
Virginia,36,2008-11-30
Washington,55,2008-11-30
West Virginia,91,2008-11-30
Wisconsin,47,2008-11-30
Wyoming,100,2008-11-30
Alabama,68,2008-12-31
Alaska,24,2008-12-31
Arizona,54,2008-12-31
Arkansas,63,2008-12-31
California,37,2008-12-31
Colorado,42,2008-12-31
Connecticut,55,2008-12-31
Delaware,78,2008-12-31
District of Columbia,50,2008-12-31
Florida,63,2008-12-31
Georgia,74,2008-12-31
Hawaii,29,2008-12-31
Idaho,77,2008-12-31
Illinois,39,2008-12-31
Indiana,43,2008-12-31
Iowa,39,2008-12-31
Kansas,52,2008-12-31
Kentucky,43,2008-12-31
Louisiana,69,2008-12-31
Maine,40,2008-12-31
Maryland,49,2008-12-31
Massachusetts,36,2008-12-31
Michigan,49,2008-12-31
Minnesota,44,2008-12-31
Mississippi,42,2008-12-31
Missouri,54,2008-12-31
Montana,39,2008-12-31
Nebraska,68,2008-12-31
Nevada,86,2008-12-31
New Hampshire,36,2008-12-31
New Jersey,42,2008-12-31
New Mexico,23,2008-12-31
New York,37,2008-12-31
North Carolina,63,2008-12-31
North Dakota,12,2008-12-31
Ohio,55,2008-12-31
Oklahoma,77,2008-12-31
Oregon,69,2008-12-31
Pennsylvania,42,2008-12-31
Rhode Island,42,2008-12-31
South Carolina,72,2008-12-31
South Dakota,38,2008-12-31
Tennessee,65,2008-12-31
Texas,55,2008-12-31
Utah,69,2008-12-31
Vermont,59,2008-12-31
Virginia,33,2008-12-31
Washington,61,2008-12-31
West Virginia,21,2008-12-31
Wisconsin,39,2008-12-31
Wyoming,100,2008-12-31
Alabama,60,2009-01-31
Alaska,17,2009-01-31
Arizona,50,2009-01-31
Arkansas,56,2009-01-31
California,25,2009-01-31
Colorado,38,2009-01-31
Connecticut,29,2009-01-31
Delaware,35,2009-01-31
District of Columbia,34,2009-01-31
Florida,41,2009-01-31
Georgia,50,2009-01-31
Hawaii,31,2009-01-31
Idaho,58,2009-01-31
Illinois,32,2009-01-31
Indiana,29,2009-01-31
Iowa,22,2009-01-31
Kansas,25,2009-01-31
Kentucky,33,2009-01-31
Louisiana,45,2009-01-31
Maine,29,2009-01-31
Maryland,37,2009-01-31
Massachusetts,27,2009-01-31
Michigan,40,2009-01-31
Minnesota,28,2009-01-31
Mississippi,40,2009-01-31
Missouri,31,2009-01-31
Montana,35,2009-01-31
Nebraska,56,2009-01-31
Nevada,31,2009-01-31
New Hampshire,36,2009-01-31
New Jersey,31,2009-01-31
New Mexico,45,2009-01-31
New York,25,2009-01-31
North Carolina,41,2009-01-31
North Dakota,8,2009-01-31
Ohio,31,2009-01-31
Oklahoma,59,2009-01-31
Oregon,28,2009-01-31
Pennsylvania,29,2009-01-31
Rhode Island,25,2009-01-31
South Carolina,35,2009-01-31
South Dakota,38,2009-01-31
Tennessee,40,2009-01-31
Texas,38,2009-01-31
Utah,31,2009-01-31
Vermont,33,2009-01-31
Virginia,22,2009-01-31
Washington,28,2009-01-31
West Virginia,36,2009-01-31
Wisconsin,30,2009-01-31
Wyoming,100,2009-01-31
Alabama,49,2009-02-28
Alaska,6,2009-02-28
Arizona,78,2009-02-28
Arkansas,84,2009-02-28
California,32,2009-02-28
Colorado,47,2009-02-28
Connecticut,36,2009-02-28
Delaware,100,2009-02-28
District of Columbia,42,2009-02-28
Florida,59,2009-02-28
Georgia,72,2009-02-28
Hawaii,24,2009-02-28
Idaho,83,2009-02-28
Illinois,42,2009-02-28
Indiana,26,2009-02-28
Iowa,41,2009-02-28
Kansas,59,2009-02-28
Kentucky,26,2009-02-28
Louisiana,82,2009-02-28
Maine,50,2009-02-28
Maryland,58,2009-02-28
Massachusetts,32,2009-02-28
Michigan,49,2009-02-28
Minnesota,55,2009-02-28
Mississippi,39,2009-02-28
Missouri,47,2009-02-28
Montana,47,2009-02-28
Nebraska,73,2009-02-28
Nevada,53,2009-02-28
New Hampshire,47,2009-02-28
New Jersey,46,2009-02-28
New Mexico,50,2009-02-28
New York,32,2009-02-28
North Carolina,58,2009-02-28
North Dakota,29,2009-02-28
Ohio,52,2009-02-28
Oklahoma,55,2009-02-28
Oregon,47,2009-02-28
Pennsylvania,40,2009-02-28
Rhode Island,54,2009-02-28
South Carolina,47,2009-02-28
South Dakota,29,2009-02-28
Tennessee,56,2009-02-28
Texas,46,2009-02-28
Utah,49,2009-02-28
Vermont,19,2009-02-28
Virginia,26,2009-02-28
Washington,41,2009-02-28
West Virginia,34,2009-02-28
Wisconsin,33,2009-02-28
Wyoming,69,2009-02-28
Alabama,58,2009-03-31
Alaska,28,2009-03-31
Arizona,71,2009-03-31
Arkansas,61,2009-03-31
California,35,2009-03-31
Colorado,36,2009-03-31
Connecticut,35,2009-03-31
Delaware,67,2009-03-31
District of Columbia,41,2009-03-31
Florida,64,2009-03-31
Georgia,63,2009-03-31
Hawaii,30,2009-03-31
Idaho,34,2009-03-31
Illinois,43,2009-03-31
Indiana,31,2009-03-31
Iowa,47,2009-03-31
Kansas,47,2009-03-31
Kentucky,39,2009-03-31
Louisiana,55,2009-03-31
Maine,75,2009-03-31
Maryland,55,2009-03-31
Massachusetts,35,2009-03-31
Michigan,38,2009-03-31
Minnesota,59,2009-03-31
Mississippi,54,2009-03-31
Missouri,62,2009-03-31
Montana,27,2009-03-31
Nebraska,40,2009-03-31
Nevada,100,2009-03-31
New Hampshire,27,2009-03-31
New Jersey,46,2009-03-31
New Mexico,63,2009-03-31
New York,34,2009-03-31
North Carolina,48,2009-03-31
North Dakota,40,2009-03-31
Ohio,47,2009-03-31
Oklahoma,56,2009-03-31
Oregon,51,2009-03-31
Pennsylvania,43,2009-03-31
Rhode Island,45,2009-03-31
South Carolina,55,2009-03-31
South Dakota,47,2009-03-31
Tennessee,73,2009-03-31
Texas,48,2009-03-31
Utah,46,2009-03-31
Vermont,41,2009-03-31
Virginia,31,2009-03-31
Washington,55,2009-03-31
West Virginia,45,2009-03-31
Wisconsin,39,2009-03-31
Wyoming,38,2009-03-31
Alabama,74,2009-04-30
Alaska,18,2009-04-30
Arizona,65,2009-04-30
Arkansas,65,2009-04-30
California,38,2009-04-30
Colorado,67,2009-04-30
Connecticut,50,2009-04-30
Delaware,25,2009-04-30
District of Columbia,43,2009-04-30
Florida,69,2009-04-30
Georgia,58,2009-04-30
Hawaii,46,2009-04-30
Idaho,55,2009-04-30
Illinois,60,2009-04-30
Indiana,38,2009-04-30
Iowa,47,2009-04-30
Kansas,80,2009-04-30
Kentucky,79,2009-04-30
Louisiana,77,2009-04-30
Maine,83,2009-04-30
Maryland,59,2009-04-30
Massachusetts,43,2009-04-30
Michigan,63,2009-04-30
Minnesota,75,2009-04-30
Mississippi,100,2009-04-30
Missouri,61,2009-04-30
Montana,36,2009-04-30
Nebraska,60,2009-04-30
Nevada,70,2009-04-30
New Hampshire,65,2009-04-30
New Jersey,52,2009-04-30
New Mexico,52,2009-04-30
New York,44,2009-04-30
North Carolina,67,2009-04-30
North Dakota,66,2009-04-30
Ohio,61,2009-04-30
Oklahoma,69,2009-04-30
Oregon,75,2009-04-30
Pennsylvania,46,2009-04-30
Rhode Island,58,2009-04-30
South Carolina,91,2009-04-30
South Dakota,82,2009-04-30
Tennessee,70,2009-04-30
Texas,57,2009-04-30
Utah,68,2009-04-30
Vermont,77,2009-04-30
Virginia,30,2009-04-30
Washington,46,2009-04-30
West Virginia,23,2009-04-30
Wisconsin,58,2009-04-30
Wyoming,32,2009-04-30
Alabama,35,2009-05-31
Alaska,22,2009-05-31
Arizona,64,2009-05-31
Arkansas,80,2009-05-31
California,30,2009-05-31
Colorado,48,2009-05-31
Connecticut,44,2009-05-31
Delaware,59,2009-05-31
District of Columbia,31,2009-05-31
Florida,56,2009-05-31
Georgia,56,2009-05-31
Hawaii,27,2009-05-31
Idaho,60,2009-05-31
Illinois,36,2009-05-31
Indiana,31,2009-05-31
Iowa,47,2009-05-31
Kansas,44,2009-05-31
Kentucky,30,2009-05-31
Louisiana,57,2009-05-31
Maine,52,2009-05-31
Maryland,45,2009-05-31
Massachusetts,34,2009-05-31
Michigan,46,2009-05-31
Minnesota,57,2009-05-31
Mississippi,35,2009-05-31
Missouri,47,2009-05-31
Montana,62,2009-05-31
Nebraska,65,2009-05-31
Nevada,53,2009-05-31
New Hampshire,32,2009-05-31
New Jersey,40,2009-05-31
New Mexico,45,2009-05-31
New York,28,2009-05-31
North Carolina,50,2009-05-31
North Dakota,37,2009-05-31
Ohio,48,2009-05-31
Oklahoma,44,2009-05-31
Oregon,41,2009-05-31
Pennsylvania,41,2009-05-31
Rhode Island,30,2009-05-31
South Carolina,85,2009-05-31
South Dakota,54,2009-05-31
Tennessee,52,2009-05-31
Texas,43,2009-05-31
Utah,55,2009-05-31
Vermont,34,2009-05-31
Virginia,27,2009-05-31
Washington,39,2009-05-31
West Virginia,66,2009-05-31
Wisconsin,47,2009-05-31
Wyoming,100,2009-05-31
Alabama,63,2009-06-30
Alaska,21,2009-06-30
Arizona,74,2009-06-30
Arkansas,73,2009-06-30
California,30,2009-06-30
Colorado,48,2009-06-30
Connecticut,50,2009-06-30
Delaware,80,2009-06-30
District of Columbia,40,2009-06-30
Florida,51,2009-06-30
Georgia,56,2009-06-30
Hawaii,20,2009-06-30
Idaho,67,2009-06-30
Illinois,36,2009-06-30
Indiana,44,2009-06-30
Iowa,48,2009-06-30
Kansas,47,2009-06-30
Kentucky,45,2009-06-30
Louisiana,47,2009-06-30
Maine,48,2009-06-30
Maryland,53,2009-06-30
Massachusetts,26,2009-06-30
Michigan,40,2009-06-30
Minnesota,39,2009-06-30
Mississippi,44,2009-06-30
Missouri,44,2009-06-30
Montana,29,2009-06-30
Nebraska,64,2009-06-30
Nevada,61,2009-06-30
New Hampshire,22,2009-06-30
New Jersey,34,2009-06-30
New Mexico,57,2009-06-30
New York,33,2009-06-30
North Carolina,54,2009-06-30
North Dakota,61,2009-06-30
Ohio,48,2009-06-30
Oklahoma,65,2009-06-30
Oregon,57,2009-06-30
Pennsylvania,37,2009-06-30
Rhode Island,44,2009-06-30
South Carolina,45,2009-06-30
South Dakota,100,2009-06-30
Tennessee,53,2009-06-30
Texas,40,2009-06-30
Utah,61,2009-06-30
Vermont,32,2009-06-30
Virginia,28,2009-06-30
Washington,53,2009-06-30
West Virginia,63,2009-06-30
Wisconsin,39,2009-06-30
Wyoming,55,2009-06-30
Alabama,39,2009-07-31
Alaska,63,2009-07-31
Arizona,78,2009-07-31
Arkansas,58,2009-07-31
California,36,2009-07-31
Colorado,55,2009-07-31
Connecticut,51,2009-07-31
Delaware,27,2009-07-31
District of Columbia,48,2009-07-31
Florida,60,2009-07-31
Georgia,64,2009-07-31
Hawaii,32,2009-07-31
Idaho,74,2009-07-31
Illinois,44,2009-07-31
Indiana,44,2009-07-31
Iowa,50,2009-07-31
Kansas,62,2009-07-31
Kentucky,59,2009-07-31
Louisiana,74,2009-07-31
Maine,47,2009-07-31
Maryland,50,2009-07-31
Massachusetts,36,2009-07-31
Michigan,64,2009-07-31
Minnesota,49,2009-07-31
Mississippi,68,2009-07-31
Missouri,71,2009-07-31
Montana,100,2009-07-31
Nebraska,72,2009-07-31
Nevada,71,2009-07-31
New Hampshire,47,2009-07-31
New Jersey,47,2009-07-31
New Mexico,42,2009-07-31
New York,33,2009-07-31
North Carolina,65,2009-07-31
North Dakota,55,2009-07-31
Ohio,59,2009-07-31
Oklahoma,88,2009-07-31
Oregon,66,2009-07-31
Pennsylvania,45,2009-07-31
Rhode Island,35,2009-07-31
South Carolina,38,2009-07-31
South Dakota,67,2009-07-31
Tennessee,67,2009-07-31
Texas,48,2009-07-31
Utah,59,2009-07-31
Vermont,26,2009-07-31
Virginia,26,2009-07-31
Washington,68,2009-07-31
West Virginia,0,2009-07-31
Wisconsin,48,2009-07-31
Wyoming,62,2009-07-31
Alabama,62,2009-08-31
Alaska,31,2009-08-31
Arizona,73,2009-08-31
Arkansas,88,2009-08-31
California,43,2009-08-31
Colorado,77,2009-08-31
Connecticut,49,2009-08-31
Delaware,49,2009-08-31
District of Columbia,52,2009-08-31
Florida,67,2009-08-31
Georgia,66,2009-08-31
Hawaii,24,2009-08-31
Idaho,65,2009-08-31
Illinois,51,2009-08-31
Indiana,39,2009-08-31
Iowa,84,2009-08-31
Kansas,46,2009-08-31
Kentucky,58,2009-08-31
Louisiana,71,2009-08-31
Maine,93,2009-08-31
Maryland,51,2009-08-31
Massachusetts,45,2009-08-31
Michigan,61,2009-08-31
Minnesota,61,2009-08-31
Mississippi,91,2009-08-31
Missouri,65,2009-08-31
Montana,100,2009-08-31
Nebraska,62,2009-08-31
Nevada,65,2009-08-31
New Hampshire,32,2009-08-31
New Jersey,58,2009-08-31
New Mexico,54,2009-08-31
New York,40,2009-08-31
North Carolina,68,2009-08-31
North Dakota,48,2009-08-31
Ohio,55,2009-08-31
Oklahoma,88,2009-08-31
Oregon,45,2009-08-31
Pennsylvania,68,2009-08-31
Rhode Island,35,2009-08-31
South Carolina,68,2009-08-31
South Dakota,91,2009-08-31
Tennessee,83,2009-08-31
Texas,58,2009-08-31
Utah,65,2009-08-31
Vermont,29,2009-08-31
Virginia,35,2009-08-31
Washington,54,2009-08-31
West Virginia,66,2009-08-31
Wisconsin,40,2009-08-31
Wyoming,59,2009-08-31
Alabama,56,2009-09-30
Alaska,66,2009-09-30
Arizona,58,2009-09-30
Arkansas,51,2009-09-30
California,31,2009-09-30
Colorado,48,2009-09-30
Connecticut,32,2009-09-30
Delaware,46,2009-09-30
District of Columbia,37,2009-09-30
Florida,51,2009-09-30
Georgia,42,2009-09-30
Hawaii,30,2009-09-30
Idaho,40,2009-09-30
Illinois,36,2009-09-30
Indiana,33,2009-09-30
Iowa,27,2009-09-30
Kansas,30,2009-09-30
Kentucky,39,2009-09-30
Louisiana,64,2009-09-30
Maine,31,2009-09-30
Maryland,44,2009-09-30
Massachusetts,28,2009-09-30
Michigan,52,2009-09-30
Minnesota,28,2009-09-30
Mississippi,62,2009-09-30
Missouri,46,2009-09-30
Montana,81,2009-09-30
Nebraska,32,2009-09-30
Nevada,66,2009-09-30
New Hampshire,31,2009-09-30
New Jersey,39,2009-09-30
New Mexico,100,2009-09-30
New York,28,2009-09-30
North Carolina,40,2009-09-30
North Dakota,22,2009-09-30
Ohio,36,2009-09-30
Oklahoma,50,2009-09-30
Oregon,45,2009-09-30
Pennsylvania,37,2009-09-30
Rhode Island,24,2009-09-30
South Carolina,65,2009-09-30
South Dakota,16,2009-09-30
Tennessee,68,2009-09-30
Texas,38,2009-09-30
Utah,39,2009-09-30
Vermont,10,2009-09-30
Virginia,25,2009-09-30
Washington,32,2009-09-30
West Virginia,67,2009-09-30
Wisconsin,33,2009-09-30
Wyoming,58,2009-09-30
Alabama,95,2009-10-31
Alaska,32,2009-10-31
Arizona,54,2009-10-31
Arkansas,66,2009-10-31
California,37,2009-10-31
Colorado,68,2009-10-31
Connecticut,38,2009-10-31
Delaware,70,2009-10-31
District of Columbia,45,2009-10-31
Florida,56,2009-10-31
Georgia,59,2009-10-31
Hawaii,57,2009-10-31
Idaho,49,2009-10-31
Illinois,52,2009-10-31
Indiana,43,2009-10-31
Iowa,27,2009-10-31
Kansas,47,2009-10-31
Kentucky,42,2009-10-31
Louisiana,97,2009-10-31
Maine,39,2009-10-31
Maryland,38,2009-10-31
Massachusetts,28,2009-10-31
Michigan,48,2009-10-31
Minnesota,53,2009-10-31
Mississippi,83,2009-10-31
Missouri,54,2009-10-31
Montana,31,2009-10-31
Nebraska,66,2009-10-31
Nevada,43,2009-10-31
New Hampshire,53,2009-10-31
New Jersey,47,2009-10-31
New Mexico,100,2009-10-31
New York,35,2009-10-31
North Carolina,63,2009-10-31
North Dakota,100,2009-10-31
Ohio,55,2009-10-31
Oklahoma,52,2009-10-31
Oregon,51,2009-10-31
Pennsylvania,56,2009-10-31
Rhode Island,28,2009-10-31
South Carolina,48,2009-10-31
South Dakota,35,2009-10-31
Tennessee,74,2009-10-31
Texas,54,2009-10-31
Utah,52,2009-10-31
