geoName,Home,year
Vermont,37,2005-08-31
Virginia,47,2005-08-31
Washington,83,2005-08-31
West Virginia,88,2005-08-31
Wisconsin,38,2005-08-31
Wyoming,75,2005-08-31
Alabama,47,2005-09-30
Alaska,70,2005-09-30
Arizona,92,2005-09-30
Arkansas,29,2005-09-30
California,55,2005-09-30
Colorado,54,2005-09-30
Connecticut,48,2005-09-30
Delaware,0,2005-09-30
District of Columbia,52,2005-09-30
Florida,97,2005-09-30
Georgia,86,2005-09-30
Hawaii,39,2005-09-30
Idaho,73,2005-09-30
Illinois,58,2005-09-30
Indiana,39,2005-09-30
Iowa,43,2005-09-30
Kansas,62,2005-09-30
Kentucky,32,2005-09-30
Louisiana,47,2005-09-30
Maine,42,2005-09-30
Maryland,59,2005-09-30
Massachusetts,35,2005-09-30
Michigan,49,2005-09-30
Minnesota,63,2005-09-30
Mississippi,100,2005-09-30
Missouri,63,2005-09-30
Montana,27,2005-09-30
Nebraska,56,2005-09-30
Nevada,96,2005-09-30
New Hampshire,96,2005-09-30
New Jersey,49,2005-09-30
New Mexico,61,2005-09-30
New York,40,2005-09-30
North Carolina,64,2005-09-30
North Dakota,37,2005-09-30
Ohio,51,2005-09-30
Oklahoma,60,2005-09-30
Oregon,59,2005-09-30
Pennsylvania,39,2005-09-30
Rhode Island,13,2005-09-30
South Carolina,62,2005-09-30
South Dakota,97,2005-09-30
Tennessee,80,2005-09-30
Texas,47,2005-09-30
Utah,30,2005-09-30
Vermont,20,2005-09-30
Virginia,44,2005-09-30
Washington,74,2005-09-30
West Virginia,73,2005-09-30
Wisconsin,42,2005-09-30
Wyoming,0,2005-09-30
Alabama,42,2005-10-31
Alaska,100,2005-10-31
Arizona,67,2005-10-31
Arkansas,53,2005-10-31
California,31,2005-10-31
Colorado,43,2005-10-31
Connecticut,38,2005-10-31
Delaware,50,2005-10-31
District of Columbia,32,2005-10-31
Florida,50,2005-10-31
Georgia,44,2005-10-31
Hawaii,40,2005-10-31
Idaho,43,2005-10-31
Illinois,34,2005-10-31
Indiana,29,2005-10-31
Iowa,21,2005-10-31
Kansas,23,2005-10-31
Kentucky,19,2005-10-31
Louisiana,31,2005-10-31
Maine,44,2005-10-31
Maryland,42,2005-10-31
Massachusetts,18,2005-10-31
Michigan,34,2005-10-31
Minnesota,41,2005-10-31
Mississippi,35,2005-10-31
Missouri,49,2005-10-31
Montana,0,2005-10-31
Nebraska,27,2005-10-31
Nevada,32,2005-10-31
New Hampshire,50,2005-10-31
New Jersey,26,2005-10-31
New Mexico,54,2005-10-31
New York,22,2005-10-31
North Carolina,38,2005-10-31
North Dakota,44,2005-10-31
Ohio,35,2005-10-31
Oklahoma,36,2005-10-31
Oregon,28,2005-10-31
Pennsylvania,27,2005-10-31
Rhode Island,16,2005-10-31
South Carolina,33,2005-10-31
South Dakota,0,2005-10-31
Tennessee,41,2005-10-31
Texas,37,2005-10-31
Utah,60,2005-10-31
Vermont,25,2005-10-31
Virginia,34,2005-10-31
Washington,29,2005-10-31
West Virginia,60,2005-10-31
Wisconsin,35,2005-10-31
Wyoming,25,2005-10-31
Alabama,52,2005-11-30
Alaska,38,2005-11-30
Arizona,53,2005-11-30
Arkansas,58,2005-11-30
California,27,2005-11-30
Colorado,36,2005-11-30
Connecticut,21,2005-11-30
Delaware,32,2005-11-30
District of Columbia,31,2005-11-30
Florida,35,2005-11-30
Georgia,51,2005-11-30
Hawaii,36,2005-11-30
Idaho,20,2005-11-30
Illinois,26,2005-11-30
Indiana,19,2005-11-30
Iowa,14,2005-11-30
Kansas,17,2005-11-30
Kentucky,55,2005-11-30
Louisiana,46,2005-11-30
Maine,31,2005-11-30
Maryland,30,2005-11-30
Massachusetts,9,2005-11-30
Michigan,22,2005-11-30
Minnesota,21,2005-11-30
Mississippi,22,2005-11-30
Missouri,39,2005-11-30
Montana,100,2005-11-30
Nebraska,24,2005-11-30
