geoName,Investment,year
Colorado,46,2005-10-31
Connecticut,0,2005-10-31
Delaware,0,2005-10-31
District of Columbia,52,2005-10-31
Florida,26,2005-10-31
Georgia,86,2005-10-31
Hawaii,0,2005-10-31
Idaho,0,2005-10-31
Illinois,36,2005-10-31
Indiana,32,2005-10-31
Iowa,0,2005-10-31
Kansas,0,2005-10-31
Kentucky,0,2005-10-31
Louisiana,0,2005-10-31
Maine,99,2005-10-31
Maryland,65,2005-10-31
Massachusetts,49,2005-10-31
Michigan,0,2005-10-31
Minnesota,22,2005-10-31
Mississippi,0,2005-10-31
Missouri,21,2005-10-31
Montana,0,2005-10-31
Nebraska,0,2005-10-31
Nevada,0,2005-10-31
New Hampshire,81,2005-10-31
New Jersey,0,2005-10-31
New Mexico,0,2005-10-31
New York,20,2005-10-31
North Carolina,35,2005-10-31
North Dakota,0,2005-10-31
Ohio,26,2005-10-31
Oklahoma,0,2005-10-31
Oregon,28,2005-10-31
Pennsylvania,11,2005-10-31
Rhode Island,0,2005-10-31
South Carolina,0,2005-10-31
South Dakota,0,2005-10-31
Tennessee,31,2005-10-31
Texas,78,2005-10-31
Utah,0,2005-10-31
Vermont,0,2005-10-31
Virginia,25,2005-10-31
Washington,14,2005-10-31
West Virginia,0,2005-10-31
Wisconsin,23,2005-10-31
Wyoming,0,2005-10-31
Alabama,0,2005-11-30
Alaska,0,2005-11-30
Arizona,0,2005-11-30
Arkansas,0,2005-11-30
California,30,2005-11-30
Colorado,0,2005-11-30
Connecticut,53,2005-11-30
Delaware,0,2005-11-30
District of Columbia,0,2005-11-30
Florida,55,2005-11-30
Georgia,71,2005-11-30
Hawaii,0,2005-11-30
Idaho,100,2005-11-30
Illinois,15,2005-11-30
Indiana,0,2005-11-30
Iowa,0,2005-11-30
Kansas,0,2005-11-30
Kentucky,0,2005-11-30
Louisiana,47,2005-11-30
Maine,0,2005-11-30
Maryland,17,2005-11-30
Massachusetts,0,2005-11-30
Michigan,0,2005-11-30
Minnesota,18,2005-11-30
Mississippi,0,2005-11-30
Missouri,17,2005-11-30
Montana,0,2005-11-30
Nebraska,62,2005-11-30
Nevada,56,2005-11-30
New Hampshire,0,2005-11-30
New Jersey,43,2005-11-30
New Mexico,87,2005-11-30
New York,37,2005-11-30
North Carolina,43,2005-11-30
North Dakota,0,2005-11-30
Ohio,11,2005-11-30
Oklahoma,0,2005-11-30
Oregon,23,2005-11-30
Pennsylvania,17,2005-11-30
Rhode Island,72,2005-11-30
South Carolina,45,2005-11-30
South Dakota,0,2005-11-30
Tennessee,26,2005-11-30
Texas,27,2005-11-30
Utah,43,2005-11-30
Vermont,0,2005-11-30
Virginia,31,2005-11-30
Washington,47,2005-11-30
West Virginia,0,2005-11-30
Wisconsin,37,2005-11-30
Wyoming,0,2005-11-30
Alabama,0,2005-12-31
Alaska,0,2005-12-31
Arizona,48,2005-12-31
Arkansas,0,2005-12-31
California,37,2005-12-31
Colorado,100,2005-12-31
Connecticut,35,2005-12-31
Delaware,0,2005-12-31
District of Columbia,28,2005-12-31
Florida,63,2005-12-31
Georgia,40,2005-12-31
Hawaii,0,2005-12-31
Idaho,0,2005-12-31
Illinois,59,2005-12-31
Indiana,0,2005-12-31
Iowa,0,2005-12-31
Kansas,0,2005-12-31
Kentucky,0,2005-12-31
Louisiana,0,2005-12-31
Maine,0,2005-12-31
Maryland,49,2005-12-31
Massachusetts,14,2005-12-31
Michigan,67,2005-12-31
Minnesota,0,2005-12-31
Mississippi,0,2005-12-31
Missouri,23,2005-12-31
Montana,0,2005-12-31
Nebraska,0,2005-12-31
Nevada,78,2005-12-31
New Hampshire,0,2005-12-31
New Jersey,43,2005-12-31
New Mexico,0,2005-12-31
New York,73,2005-12-31
North Carolina,56,2005-12-31
North Dakota,0,2005-12-31
Ohio,58,2005-12-31
Oklahoma,0,2005-12-31
Oregon,90,2005-12-31
Pennsylvania,12,2005-12-31
Rhode Island,99,2005-12-31
South Carolina,58,2005-12-31
South Dakota,0,2005-12-31
Tennessee,34,2005-12-31
Texas,43,2005-12-31
Utah,0,2005-12-31
Vermont,0,2005-12-31
Virginia,42,2005-12-31
Washington,15,2005-12-31
West Virginia,0,2005-12-31
Wisconsin,26,2005-12-31
Wyoming,0,2005-12-31
Alabama,0,2006-01-31
Alaska,0,2006-01-31
Arizona,56,2006-01-31
Arkansas,0,2006-01-31
California,43,2006-01-31
Colorado,14,2006-01-31
Connecticut,21,2006-01-31
Delaware,0,2006-01-31
District of Columbia,67,2006-01-31
Florida,37,2006-01-31
Georgia,16,2006-01-31
Hawaii,0,2006-01-31
Idaho,0,2006-01-31
Illinois,11,2006-01-31
Indiana,20,2006-01-31
Iowa,0,2006-01-31
Kansas,100,2006-01-31
Kentucky,0,2006-01-31
Louisiana,35,2006-01-31
Maine,0,2006-01-31
Maryland,14,2006-01-31
Massachusetts,8,2006-01-31
Michigan,19,2006-01-31
Minnesota,14,2006-01-31
Mississippi,78,2006-01-31
Missouri,40,2006-01-31
Montana,0,2006-01-31
Nebraska,0,2006-01-31
Nevada,45,2006-01-31
New Hampshire,0,2006-01-31
New Jersey,17,2006-01-31
New Mexico,0,2006-01-31
New York,26,2006-01-31
North Carolina,11,2006-01-31
North Dakota,0,2006-01-31
Ohio,16,2006-01-31
Oklahoma,0,2006-01-31
Oregon,18,2006-01-31
Pennsylvania,32,2006-01-31
Rhode Island,58,2006-01-31
South Carolina,32,2006-01-31
South Dakota,0,2006-01-31
Tennessee,39,2006-01-31
Texas,0,2006-01-31
Utah,32,2006-01-31
Vermont,0,2006-01-31
Virginia,24,2006-01-31
Washington,19,2006-01-31
West Virginia,0,2006-01-31
Wisconsin,0,2006-01-31
Wyoming,0,2006-01-31
Alabama,22,2006-02-28
Alaska,0,2006-02-28
Arizona,18,2006-02-28
Arkansas,0,2006-02-28
California,21,2006-02-28
Colorado,28,2006-02-28
Connecticut,41,2006-02-28
Delaware,82,2006-02-28
District of Columbia,11,2006-02-28
Florida,28,2006-02-28
Georgia,26,2006-02-28
Hawaii,0,2006-02-28
Idaho,50,2006-02-28
Illinois,19,2006-02-28
Indiana,0,2006-02-28
Iowa,0,2006-02-28
Kansas,22,2006-02-28
Kentucky,0,2006-02-28
Louisiana,0,2006-02-28
Maine,40,2006-02-28
Maryland,18,2006-02-28
Massachusetts,36,2006-02-28
Michigan,13,2006-02-28
Minnesota,9,2006-02-28
Mississippi,0,2006-02-28
Missouri,9,2006-02-28
Montana,0,2006-02-28
Nebraska,0,2006-02-28
Nevada,28,2006-02-28
New Hampshire,0,2006-02-28
New Jersey,34,2006-02-28
New Mexico,42,2006-02-28
New York,17,2006-02-28
North Carolina,7,2006-02-28
North Dakota,100,2006-02-28
Ohio,11,2006-02-28
Oklahoma,0,2006-02-28
Oregon,12,2006-02-28
Pennsylvania,30,2006-02-28
Rhode Island,0,2006-02-28
South Carolina,65,2006-02-28
South Dakota,0,2006-02-28
Tennessee,0,2006-02-28
Texas,30,2006-02-28
Utah,41,2006-02-28
Vermont,0,2006-02-28
Virginia,21,2006-02-28
Washington,12,2006-02-28
West Virginia,67,2006-02-28
Wisconsin,29,2006-02-28
Wyoming,0,2006-02-28
Alabama,63,2006-03-31
Alaska,0,2006-03-31
Arizona,75,2006-03-31
Arkansas,0,2006-03-31
California,37,2006-03-31
Colorado,13,2006-03-31
Connecticut,19,2006-03-31
Delaware,0,2006-03-31
District of Columbia,77,2006-03-31
Florida,34,2006-03-31
Georgia,37,2006-03-31
Hawaii,100,2006-03-31
Idaho,71,2006-03-31
Illinois,21,2006-03-31
Indiana,39,2006-03-31
Iowa,69,2006-03-31
Kansas,31,2006-03-31
Kentucky,0,2006-03-31
Louisiana,0,2006-03-31
Maine,0,2006-03-31
Maryland,13,2006-03-31
Massachusetts,29,2006-03-31
Michigan,19,2006-03-31
Minnesota,13,2006-03-31
Mississippi,0,2006-03-31
Missouri,38,2006-03-31
Montana,0,2006-03-31
Nebraska,89,2006-03-31
Nevada,0,2006-03-31
New Hampshire,0,2006-03-31
New Jersey,8,2006-03-31
New Mexico,59,2006-03-31
New York,12,2006-03-31
North Carolina,10,2006-03-31
North Dakota,0,2006-03-31
Ohio,24,2006-03-31
Oklahoma,0,2006-03-31
Oregon,86,2006-03-31
Pennsylvania,19,2006-03-31
Rhode Island,53,2006-03-31
South Carolina,0,2006-03-31
South Dakota,0,2006-03-31
Tennessee,0,2006-03-31
Texas,26,2006-03-31
Utah,0,2006-03-31
Vermont,84,2006-03-31
Virginia,24,2006-03-31
Washington,44,2006-03-31
West Virginia,0,2006-03-31
Wisconsin,28,2006-03-31
Wyoming,0,2006-03-31
Alabama,0,2006-04-30
Alaska,100,2006-04-30
Arizona,13,2006-04-30
Arkansas,0,2006-04-30
California,16,2006-04-30
Colorado,28,2006-04-30
Connecticut,10,2006-04-30
Delaware,0,2006-04-30
District of Columbia,0,2006-04-30
Florida,12,2006-04-30
Georgia,19,2006-04-30
Hawaii,0,2006-04-30
Idaho,0,2006-04-30
Illinois,14,2006-04-30
Indiana,31,2006-04-30
Iowa,0,2006-04-30
Kansas,0,2006-04-30
Kentucky,0,2006-04-30
Louisiana,16,2006-04-30
Maine,0,2006-04-30
Maryland,26,2006-04-30
Massachusetts,0,2006-04-30
Michigan,10,2006-04-30
Minnesota,20,2006-04-30
Mississippi,0,2006-04-30
Missouri,20,2006-04-30
Montana,0,2006-04-30
Nebraska,0,2006-04-30
Nevada,40,2006-04-30
New Hampshire,0,2006-04-30
New Jersey,12,2006-04-30
New Mexico,32,2006-04-30
New York,6,2006-04-30
North Carolina,10,2006-04-30
North Dakota,0,2006-04-30
Ohio,20,2006-04-30
Oklahoma,18,2006-04-30
Oregon,17,2006-04-30
Pennsylvania,13,2006-04-30
Rhode Island,54,2006-04-30
South Carolina,17,2006-04-30
South Dakota,0,2006-04-30
Tennessee,29,2006-04-30
Texas,8,2006-04-30
Utah,0,2006-04-30
Vermont,44,2006-04-30
Virginia,4,2006-04-30
Washington,21,2006-04-30
West Virginia,0,2006-04-30
Wisconsin,7,2006-04-30
Wyoming,0,2006-04-30
Alabama,26,2006-05-31
Alaska,0,2006-05-31
