geoName,Real Estate Investment,year
Michigan,22,2005-08-31
Minnesota,0,2005-08-31
Mississippi,0,2005-08-31
Missouri,58,2005-08-31
Montana,0,2005-08-31
Nebraska,0,2005-08-31
Nevada,100,2005-08-31
New Hampshire,0,2005-08-31
New Jersey,0,2005-08-31
New Mexico,0,2005-08-31
New York,21,2005-08-31
North Carolina,94,2005-08-31
North Dakota,0,2005-08-31
Ohio,18,2005-08-31
Oklahoma,0,2005-08-31
Oregon,0,2005-08-31
Pennsylvania,0,2005-08-31
Rhode Island,0,2005-08-31
South Carolina,0,2005-08-31
South Dakota,0,2005-08-31
Tennessee,42,2005-08-31
Texas,17,2005-08-31
Utah,0,2005-08-31
Vermont,0,2005-08-31
Virginia,17,2005-08-31
Washington,61,2005-08-31
West Virginia,0,2005-08-31
Wisconsin,0,2005-08-31
Wyoming,0,2005-08-31
Alabama,0,2005-09-30
Alaska,0,2005-09-30
Arizona,69,2005-09-30
Arkansas,0,2005-09-30
California,19,2005-09-30
Colorado,0,2005-09-30
Connecticut,0,2005-09-30
Delaware,0,2005-09-30
District of Columbia,0,2005-09-30
Florida,28,2005-09-30
Georgia,39,2005-09-30
Hawaii,0,2005-09-30
Idaho,0,2005-09-30
Illinois,38,2005-09-30
Indiana,0,2005-09-30
Iowa,62,2005-09-30
Kansas,55,2005-09-30
Kentucky,0,2005-09-30
Louisiana,0,2005-09-30
Maine,100,2005-09-30
Maryland,22,2005-09-30
Massachusetts,25,2005-09-30
Michigan,0,2005-09-30
Minnesota,0,2005-09-30
Mississippi,0,2005-09-30
Missouri,0,2005-09-30
Montana,0,2005-09-30
Nebraska,0,2005-09-30
Nevada,76,2005-09-30
New Hampshire,0,2005-09-30
New Jersey,14,2005-09-30
New Mexico,0,2005-09-30
New York,16,2005-09-30
North Carolina,0,2005-09-30
North Dakota,0,2005-09-30
Ohio,14,2005-09-30
Oklahoma,0,2005-09-30
Oregon,0,2005-09-30
Pennsylvania,33,2005-09-30
Rhode Island,0,2005-09-30
South Carolina,0,2005-09-30
South Dakota,0,2005-09-30
Tennessee,0,2005-09-30
Texas,0,2005-09-30
Utah,0,2005-09-30
Vermont,0,2005-09-30
Virginia,26,2005-09-30
Washington,30,2005-09-30
West Virginia,0,2005-09-30
Wisconsin,0,2005-09-30
Wyoming,0,2005-09-30
Alabama,0,2005-10-31
Alaska,0,2005-10-31
Arizona,56,2005-10-31
Arkansas,0,2005-10-31
California,15,2005-10-31
Colorado,0,2005-10-31
Connecticut,0,2005-10-31
Delaware,0,2005-10-31
District of Columbia,100,2005-10-31
Florida,33,2005-10-31
Georgia,78,2005-10-31
Hawaii,0,2005-10-31
Idaho,0,2005-10-31
Illinois,23,2005-10-31
Indiana,41,2005-10-31
Iowa,0,2005-10-31
Kansas,0,2005-10-31
Kentucky,0,2005-10-31
Louisiana,0,2005-10-31
Maine,0,2005-10-31
Maryland,0,2005-10-31
Massachusetts,0,2005-10-31
Michigan,0,2005-10-31
Minnesota,0,2005-10-31
Mississippi,0,2005-10-31
Missouri,27,2005-10-31
Montana,0,2005-10-31
Nebraska,97,2005-10-31
Nevada,0,2005-10-31
New Hampshire,0,2005-10-31
New Jersey,0,2005-10-31
New Mexico,0,2005-10-31
New York,26,2005-10-31
North Carolina,0,2005-10-31
North Dakota,0,2005-10-31
Ohio,0,2005-10-31
Oklahoma,0,2005-10-31
Oregon,36,2005-10-31
Pennsylvania,0,2005-10-31
Rhode Island,0,2005-10-31
South Carolina,0,2005-10-31
South Dakota,0,2005-10-31
Tennessee,39,2005-10-31
Texas,41,2005-10-31
Utah,66,2005-10-31
Vermont,0,2005-10-31
Virginia,16,2005-10-31
Washington,0,2005-10-31
West Virginia,0,2005-10-31
