region,sub_region,State,FIPS_State_code,year,month,total_number_hpa
South,South Atlantic,North Carolina,37,2010,April,3284
South,South Atlantic,South Carolina,45,2010,April,1430
South,South Atlantic,Virginia,51,2010,April,2081
South,South Atlantic,West Virginia,54,2010,April,216
South,East South Central,Alabama,1,2010,April,1142
South,East South Central,Kentucky,21,2010,April,683
South,East South Central,Mississippi,28,2010,April,552
South,East South Central,Tennessee,47,2010,April,1323
South,West South Central,Arkansas,5,2010,April,771
South,West South Central,Louisiana,22,2010,April,1178
South,West South Central,Oklahoma,40,2010,April,838
South,West South Central,Texas,48,2010,April,8056
West,Mountain,Arizona,4,2010,April,1142
West,Mountain,Colorado,8,2010,April,895
West,Mountain,Idaho,16,2010,April,542
West,Mountain,Montana,30,2010,April,241
West,Mountain,Nevada,32,2010,April,698
West,Mountain,New Mexico,35,2010,April,436
West,Mountain,Utah,49,2010,April,940
West,Mountain,Wyoming,56,2010,April,142
West,Pacific,Alaska,2,2010,April,100
West,Pacific,California,6,2010,April,3210
West,Pacific,Hawaii,15,2010,April,195
West,Pacific,Oregon,41,2010,April,728
West,Pacific,Washington,53,2010,April,1554
North East,New England,Connecticut,9,2010,May,256
North East,New England,Maine,23,2010,May,392
North East,New England,Massachusetts,25,2010,May,526
North East,New England,New Hampshire,33,2010,May,226
North East,New England,Rhode Island,44,2010,May,70
North East,New England,Vermont,50,2010,May,137
North East,mid atlantic,New Jersey,34,2010,May,898
North East,mid atlantic,New York,36,2010,May,1617
North East,mid atlantic,Pennsylvania,42,2010,May,1779
Midwest,East North Central,Illinois,17,2010,May,1388
Midwest,East North Central,Indiana,18,2010,May,1115
Midwest,East North Central,Michigan,26,2010,May,760
Midwest,East North Central,Ohio,39,2010,May,1067
Midwest,East North Central,Wisconsin,55,2010,May,1091
Midwest,West North Central,Iowa,19,2010,May,681
Midwest,West North Central,Kansas,20,2010,May,393
Midwest,West North Central,Minnesota,27,2010,May,1263
Midwest,West North Central,Missouri,29,2010,May,663
Midwest,West North Central,Nebraska,31,2010,May,412
Midwest,West North Central,North Dakota,38,2010,May,314
Midwest,West North Central,South Dakota,46,2010,May,300
South,South Atlantic,Delaware,10,2010,May,233
South,South Atlantic,District of Columbia,11,2010,May,8
South,South Atlantic,Florida,12,2010,May,2964
South,South Atlantic,Georgia,13,2010,May,1202
South,South Atlantic,Maryland,24,2010,May,1493
South,South Atlantic,North Carolina,37,2010,May,3028
South,South Atlantic,South Carolina,45,2010,May,1250
South,South Atlantic,Virginia,51,2010,May,1647
South,South Atlantic,West Virginia,54,2010,May,104
South,East South Central,Alabama,1,2010,May,1057
South,East South Central,Kentucky,21,2010,May,531
South,East South Central,Mississippi,28,2010,May,474
South,East South Central,Tennessee,47,2010,May,1603
South,West South Central,Arkansas,5,2010,May,597
South,West South Central,Louisiana,22,2010,May,922
South,West South Central,Oklahoma,40,2010,May,765
South,West South Central,Texas,48,2010,May,7631
West,Mountain,Arizona,4,2010,May,975
West,Mountain,Colorado,8,2010,May,811
West,Mountain,Idaho,16,2010,May,418
West,Mountain,Montana,30,2010,May,212
West,Mountain,Nevada,32,2010,May,501
West,Mountain,New Mexico,35,2010,May,479
West,Mountain,Utah,49,2010,May,862
West,Mountain,Wyoming,56,2010,May,160
West,Pacific,Alaska,2,2010,May,157
West,Pacific,California,6,2010,May,3147
West,Pacific,Hawaii,15,2010,May,456
West,Pacific,Oregon,41,2010,May,605
West,Pacific,Washington,53,2010,May,1383
North East,New England,Connecticut,9,2010,June,247
North East,New England,Maine,23,2010,June,342
North East,New England,Massachusetts,25,2010,June,1351
North East,New England,New Hampshire,33,2010,June,350
North East,New England,Rhode Island,44,2010,June,109
North East,New England,Vermont,50,2010,June,90
North East,mid atlantic,New Jersey,34,2010,June,1289
North East,mid atlantic,New York,36,2010,June,3482
North East,mid atlantic,Pennsylvania,42,2010,June,1981
Midwest,East North Central,Illinois,17,2010,June,1131
Midwest,East North Central,Indiana,18,2010,June,1133
Midwest,East North Central,Michigan,26,2010,June,951
Midwest,East North Central,Ohio,39,2010,June,1175
Midwest,East North Central,Wisconsin,55,2010,June,1172
Midwest,West North Central,Iowa,19,2010,June,795
Midwest,West North Central,Kansas,20,2010,June,645
Midwest,West North Central,Minnesota,27,2010,June,778
Midwest,West North Central,Missouri,29,2010,June,727
Midwest,West North Central,Nebraska,31,2010,June,493
Midwest,West North Central,North Dakota,38,2010,June,300
Midwest,West North Central,South Dakota,46,2010,June,315
South,South Atlantic,Delaware,10,2010,June,294
South,South Atlantic,District of Columbia,11,2010,June,0
South,South Atlantic,Florida,12,2010,June,3289
South,South Atlantic,Georgia,13,2010,June,1554
South,South Atlantic,Maryland,24,2010,June,1074
South,South Atlantic,North Carolina,37,2010,June,3323
South,South Atlantic,South Carolina,45,2010,June,1279
South,South Atlantic,Virginia,51,2010,June,1967
South,South Atlantic,West Virginia,54,2010,June,260
South,East South Central,Alabama,1,2010,June,759
South,East South Central,Kentucky,21,2010,June,593
South,East South Central,Mississippi,28,2010,June,445
South,East South Central,Tennessee,47,2010,June,1617
South,West South Central,Arkansas,5,2010,June,1152
South,West South Central,Louisiana,22,2010,June,894
South,West South Central,Oklahoma,40,2010,June,719
South,West South Central,Texas,48,2010,June,8184
West,Mountain,Arizona,4,2010,June,1095
West,Mountain,Colorado,8,2010,June,944
West,Mountain,Idaho,16,2010,June,553
West,Mountain,Montana,30,2010,June,196
West,Mountain,Nevada,32,2010,June,751
West,Mountain,New Mexico,35,2010,June,442
West,Mountain,Utah,49,2010,June,644
West,Mountain,Wyoming,56,2010,June,209
West,Pacific,Alaska,2,2010,June,109
West,Pacific,California,6,2010,June,4467
West,Pacific,Hawaii,15,2010,June,165
West,Pacific,Oregon,41,2010,June,883
West,Pacific,Washington,53,2010,June,2145
North East,New England,Connecticut,9,2010,July,296
North East,New England,Maine,23,2010,July,315
North East,New England,Massachusetts,25,2010,July,853
North East,New England,New Hampshire,33,2010,July,179
North East,New England,Rhode Island,44,2010,July,58
North East,New England,Vermont,50,2010,July,113
North East,mid atlantic,New Jersey,34,2010,July,1098
North East,mid atlantic,New York,36,2010,July,1753
North East,mid atlantic,Pennsylvania,42,2010,July,1531
Midwest,East North Central,Illinois,17,2010,July,772
Midwest,East North Central,Indiana,18,2010,July,1339
Midwest,East North Central,Michigan,26,2010,July,787
Midwest,East North Central,Ohio,39,2010,July,1569
Midwest,East North Central,Wisconsin,55,2010,July,1093
Midwest,West North Central,Iowa,19,2010,July,667
Midwest,West North Central,Kansas,20,2010,July,458
Midwest,West North Central,Minnesota,27,2010,July,743
Midwest,West North Central,Missouri,29,2010,July,638
Midwest,West North Central,Nebraska,31,2010,July,343
Midwest,West North Central,North Dakota,38,2010,July,431
Midwest,West North Central,South Dakota,46,2010,July,257
South,South Atlantic,Delaware,10,2010,July,276
South,South Atlantic,District of Columbia,11,2010,July,101
South,South Atlantic,Florida,12,2010,July,2894
South,South Atlantic,Georgia,13,2010,July,1690
South,South Atlantic,Maryland,24,2010,July,1126
South,South Atlantic,North Carolina,37,2010,July,3191
South,South Atlantic,South Carolina,45,2010,July,1192
South,South Atlantic,Virginia,51,2010,July,2224
South,South Atlantic,West Virginia,54,2010,July,126
South,East South Central,Alabama,1,2010,July,731
South,East South Central,Kentucky,21,2010,July,601
South,East South Central,Mississippi,28,2010,July,322
South,East South Central,Tennessee,47,2010,July,985
South,West South Central,Arkansas,5,2010,July,508
South,West South Central,Louisiana,22,2010,July,840
South,West South Central,Oklahoma,40,2010,July,698
South,West South Central,Texas,48,2010,July,7343
West,Mountain,Arizona,4,2010,July,942
West,Mountain,Colorado,8,2010,July,862
West,Mountain,Idaho,16,2010,July,317
West,Mountain,Montana,30,2010,July,188
West,Mountain,Nevada,32,2010,July,455
West,Mountain,New Mexico,35,2010,July,508
West,Mountain,Utah,49,2010,July,658
West,Mountain,Wyoming,56,2010,July,200
West,Pacific,Alaska,2,2010,July,91
West,Pacific,California,6,2010,July,3756
West,Pacific,Hawaii,15,2010,July,144
West,Pacific,Oregon,41,2010,July,537
West,Pacific,Washington,53,2010,July,1621
North East,New England,Connecticut,9,2010,August,239
North East,New England,Maine,23,2010,August,280
North East,New England,Massachusetts,25,2010,August,721
North East,New England,New Hampshire,33,2010,August,222
North East,New England,Rhode Island,44,2010,August,77
North East,New England,Vermont,50,2010,August,70
North East,mid atlantic,New Jersey,34,2010,August,1283
North East,mid atlantic,New York,36,2010,August,1545
North East,mid atlantic,Pennsylvania,42,2010,August,1869
Midwest,East North Central,Illinois,17,2010,August,1008
Midwest,East North Central,Indiana,18,2010,August,949
Midwest,East North Central,Michigan,26,2010,August,984
Midwest,East North Central,Ohio,39,2010,August,1155
Midwest,East North Central,Wisconsin,55,2010,August,971
Midwest,West North Central,Iowa,19,2010,August,525
Midwest,West North Central,Kansas,20,2010,August,413
Midwest,West North Central,Minnesota,27,2010,August,1007
Midwest,West North Central,Missouri,29,2010,August,886
Midwest,West North Central,Nebraska,31,2010,August,477
Midwest,West North Central,North Dakota,38,2010,August,451
Midwest,West North Central,South Dakota,46,2010,August,290
South,South Atlantic,Delaware,10,2010,August,205
South,South Atlantic,District of Columbia,11,2010,August,117
South,South Atlantic,Florida,12,2010,August,3196
South,South Atlantic,Georgia,13,2010,August,1382
South,South Atlantic,Maryland,24,2010,August,1265
South,South Atlantic,North Carolina,37,2010,August,3046
South,South Atlantic,South Carolina,45,2010,August,1181
South,South Atlantic,Virginia,51,2010,August,1871
South,South Atlantic,West Virginia,54,2010,August,122
South,East South Central,Alabama,1,2010,August,623
South,East South Central,Kentucky,21,2010,August,640
South,East South Central,Mississippi,28,2010,August,480
South,East South Central,Tennessee,47,2010,August,1677
South,West South Central,Arkansas,5,2010,August,845
South,West South Central,Louisiana,22,2010,August,921
South,West South Central,Oklahoma,40,2010,August,656
South,West South Central,Texas,48,2010,August,7690
West,Mountain,Arizona,4,2010,August,956
West,Mountain,Colorado,8,2010,August,889
West,Mountain,Idaho,16,2010,August,265
West,Mountain,Montana,30,2010,August,211
West,Mountain,Nevada,32,2010,August,463
West,Mountain,New Mexico,35,2010,August,344
West,Mountain,Utah,49,2010,August,1240
West,Mountain,Wyoming,56,2010,August,108
West,Pacific,Alaska,2,2010,August,127
West,Pacific,California,6,2010,August,3633
West,Pacific,Hawaii,15,2010,August,306
West,Pacific,Oregon,41,2010,August,864
West,Pacific,Washington,53,2010,August,2446
North East,New England,Connecticut,9,2010,September,398
North East,New England,Maine,23,2010,September,316
North East,New England,Massachusetts,25,2010,September,819
North East,New England,New Hampshire,33,2010,September,195
North East,New England,Rhode Island,44,2010,September,97
North East,New England,Vermont,50,2010,September,168
