Fips,Year,Population,Interest Rate,Month,Unemployment Rate,HPA,HPI
4,2010,6407342.0,0.75,10,9.4,855,257.08
5,2010,2921998.0,0.75,10,9.4,360,245.58
6,2010,37319550.0,0.75,10,9.4,3030,406.49
8,2010,5047539.0,0.75,10,9.4,763,339.12
9,2010,3579173.0,0.75,10,9.4,293,407.37
10,2010,899647.0,0.75,10,9.4,208,431.78
11,2010,605282.0,0.75,10,9.4,11,565.21
12,2010,18846143.0,0.75,10,9.4,2630,289.45
13,2010,9712209.0,0.75,10,9.4,928,279.14
15,2010,1364004.0,0.75,10,9.4,174,452.71
16,2010,1570819.0,0.75,10,9.4,292,279.06
17,2010,12840545.0,0.75,10,9.4,1256,314.82
18,2010,6490555.0,0.75,10,9.4,1044,245.27
19,2010,3050819.0,0.75,10,9.4,668,247.24
20,2010,2858266.0,0.75,10,9.4,329,236.15
21,2010,4348464.0,0.75,10,9.4,734,287.36
22,2010,4544635.0,0.75,10,9.4,977,242.05
23,2010,1327651.0,0.75,10,9.4,248,459.13
24,2010,5788784.0,0.75,10,9.4,676,422.21
25,2010,6566440.0,0.75,10,9.4,614,615.49
26,2010,9877597.0,0.75,10,9.4,842,239.56
27,2010,5310934.0,0.75,10,9.4,1247,311.08
28,2010,2970615.0,0.75,10,9.4,353,242.53
29,2010,5996089.0,0.75,10,9.4,653,276.59
30,2010,990730.0,0.75,10,9.4,173,356.66
31,2010,1829591.0,0.75,10,9.4,608,249.6
32,2010,2702483.0,0.75,10,9.4,433,212.8
33,2010,1316807.0,0.75,10,9.4,218,392.28
34,2010,8799451.0,0.75,10,9.4,1123,484.83
35,2010,2064614.0,0.75,10,9.4,288,297.33
36,2010,19399956.0,0.75,10,9.4,1575,577.91
37,2010,9574586.0,0.75,10,9.4,2365,312.28
38,2010,674752.0,0.75,10,9.4,399,257.62
39,2010,11539449.0,0.75,10,9.4,1404,244.62
40,2010,3760014.0,0.75,10,9.4,476,203.63
41,2010,3837614.0,0.75,10,9.4,494,367.28
42,2010,12711406.0,0.75,10,9.4,1925,375.8
44,2010,1053994.0,0.75,10,9.4,96,475.59
45,2010,4635846.0,0.75,10,9.4,1060,317.68
46,2010,816193.0,0.75,10,9.4,285,292.91
47,2010,6355518.0,0.75,10,9.4,931,288.32
48,2010,25241897.0,0.75,10,9.4,5015,222.03
49,2010,2775413.0,0.75,10,9.4,574,319.83
50,2010,625886.0,0.75,10,9.4,108,442.15
51,2010,8024004.0,0.75,10,9.4,1397,402.87
53,2010,6743009.0,0.75,10,9.4,1446,407.75
54,2010,1854265.0,0.75,10,9.4,95,207.59
55,2010,5690538.0,0.75,10,9.4,1293,302.15
56,2010,564531.0,0.75,10,9.4,218,267.63
1,2011,4799642.0,0.75,1,9.1,992,278.88
2,2011,722349.0,0.75,1,9.1,54,285.12
4,2011,6473416.0,0.75,1,9.1,697,242.66
5,2011,2941038.0,0.75,1,9.1,470,241.57
6,2011,37636311.0,0.75,1,9.1,2486,392.03
8,2011,5121900.0,0.75,1,9.1,643,330.67
9,2011,3588632.0,0.75,1,9.1,133,396.83
10,2011,907590.0,0.75,1,9.1,240,421.03
11,2011,620290.0,0.75,1,9.1,472,557.62
12,2011,19055607.0,0.75,1,9.1,3039,275.7
13,2011,9803630.0,0.75,1,9.1,1161,268.9
15,2011,1379562.0,0.75,1,9.1,116,443.31
16,2011,1584272.0,0.75,1,9.1,173,264.1
17,2011,12867783.0,0.75,1,9.1,833,304.08
18,2011,6517250.0,0.75,1,9.1,626,239.9
19,2011,3066772.0,0.75,1,9.1,173,244.95
20,2011,2869677.0,0.75,1,9.1,318,232.34
21,2011,4370817.0,0.75,1,9.1,392,283.22
22,2011,4576244.0,0.75,1,9.1,821,238.47
23,2011,1328473.0,0.75,1,9.1,126,451.47
24,2011,5840241.0,0.75,1,9.1,752,409.53
25,2011,6614218.0,0.75,1,9.1,368,606.57
26,2011,9883053.0,0.75,1,9.1,373,229.79
27,2011,5346620.0,0.75,1,9.1,246,298.18
28,2011,2979147.0,0.75,1,9.1,307,237.43
29,2011,6011182.0,0.75,1,9.1,318,269.57
30,2011,997518.0,0.75,1,9.1,57,345.74
31,2011,1840914.0,0.75,1,9.1,141,247.4
32,2011,2713114.0,0.75,1,9.1,643,201.34
33,2011,1320444.0,0.75,1,9.1,103,383.41
34,2011,8828552.0,0.75,1,9.1,922,473.37
35,2011,2080707.0,0.75,1,9.1,235,289.61
36,2011,19499921.0,0.75,1,9.1,1454,569.2
37,2011,9658913.0,0.75,1,9.1,2034,305.31
38,2011,685526.0,0.75,1,9.1,58,259.0
39,2011,11545735.0,0.75,1,9.1,687,237.18
40,2011,3788824.0,0.75,1,9.1,526,199.44
41,2011,3872672.0,0.75,1,9.1,466,351.99
42,2011,12747052.0,0.75,1,9.1,1417,369.98
44,2011,1053829.0,0.75,1,9.1,30,463.77
45,2011,4672655.0,0.75,1,9.1,915,309.31
46,2011,823740.0,0.75,1,9.1,57,291.18
47,2011,6400298.0,0.75,1,9.1,697,281.47
48,2011,25645504.0,0.75,1,9.1,5310,218.78
49,2011,2814797.0,0.75,1,9.1,421,305.6
50,2011,627197.0,0.75,1,9.1,30,439.03
51,2011,8102437.0,0.75,1,9.1,1677,393.45
53,2011,6827479.0,0.75,1,9.1,1090,394.04
54,2011,1856606.0,0.75,1,9.1,75,202.91
55,2011,5705840.0,0.75,1,9.1,527,295.5
56,2011,567491.0,0.75,1,9.1,84,263.92
1,2011,4799642.0,0.75,4,9.1,686,275.09
2,2011,722349.0,0.75,4,9.1,153,284.71
4,2011,6473416.0,0.75,4,9.1,1007,230.8
5,2011,2941038.0,0.75,4,9.1,329,240.13
6,2011,37636311.0,0.75,4,9.1,3691,385.75
8,2011,5121900.0,0.75,4,9.1,1078,324.83
9,2011,3588632.0,0.75,4,9.1,234,389.63
10,2011,907590.0,0.75,4,9.1,244,409.19
11,2011,620290.0,0.75,4,9.1,30,565.78
12,2011,19055607.0,0.75,4,9.1,3214,267.36
13,2011,9803630.0,0.75,4,9.1,1361,257.44
15,2011,1379562.0,0.75,4,9.1,331,443.77
16,2011,1584272.0,0.75,4,9.1,323,254.49
17,2011,12867783.0,0.75,4,9.1,836,297.89
18,2011,6517250.0,0.75,4,9.1,971,237.81
19,2011,3066772.0,0.75,4,9.1,1101,243.44
20,2011,2869677.0,0.75,4,9.1,359,228.74
21,2011,4370817.0,0.75,4,9.1,593,280.43
22,2011,4576244.0,0.75,4,9.1,1154,237.46
23,2011,1328473.0,0.75,4,9.1,214,444.09
24,2011,5840241.0,0.75,4,9.1,769,401.46
25,2011,6614218.0,0.75,4,9.1,455,599.71
26,2011,9883053.0,0.75,4,9.1,758,226.0
27,2011,5346620.0,0.75,4,9.1,747,291.37
28,2011,2979147.0,0.75,4,9.1,307,237.35
29,2011,6011182.0,0.75,4,9.1,849,265.39
30,2011,997518.0,0.75,4,9.1,114,344.62
31,2011,1840914.0,0.75,4,9.1,453,246.53
32,2011,2713114.0,0.75,4,9.1,436,187.82
33,2011,1320444.0,0.75,4,9.1,139,376.73
34,2011,8828552.0,0.75,4,9.1,959,463.88
35,2011,2080707.0,0.75,4,9.1,369,284.18
36,2011,19499921.0,0.75,4,9.1,1495,561.11
