,0,year,mo,1
28,District of Columbia,2019,August,384
29,Florida,2019,August,15187
30,Georgia,2019,August,4342
31,Maryland,2019,August,1289
32,North Carolina,2019,August,6209
33,South Carolina,2019,August,3187
34,Virginia,2019,August,3703
35,West Virginia,2019,August,315
37,Alabama,2019,August,1470
38,Kentucky,2019,August,1303
39,Mississippi,2019,August,644
40,Tennessee,2019,August,3943
42,Arkansas,2019,August,2195
43,Louisiana,2019,August,1497
44,Oklahoma,2019,August,1173
45,Texas,2019,August,19405
48,Arizona,2019,August,4027
49,Colorado,2019,August,3161
50,Idaho,2019,August,1747
51,Montana,2019,August,347
52,Nevada,2019,August,1404
53,New Mexico,2019,August,468
54,Utah,2019,August,2821
55,Wyoming,2019,August,183
57,Alaska,2019,August,186
58,California,2019,August,8843
59,Hawaii,2019,August,307
60,Oregon,2019,August,1919
61,Washington,2019,August,4133
0,Connecticut,2019,September,478
1,Maine,2019,September,360
2,Massachusetts,2019,September,869
3,New Hampshire,2019,September,252
4,Rhode Island,2019,September,137
5,Vermont,2019,September,109
7,New Jersey,2019,September,3424
8,New York,2019,September,2873
9,Pennsylvania,2019,September,1741
12,Illinois,2019,September,1419
13,Indiana,2019,September,1790
14,Michigan,2019,September,2202
15,Ohio,2019,September,2339
16,Wisconsin,2019,September,1661
18,Iowa,2019,September,1037
19,Kansas,2019,September,699
20,Minnesota,2019,September,1880
21,Missouri,2019,September,1339
22,Nebraska,2019,September,912
23,North Dakota,2019,September,570
24,South Dakota,2019,September,426
27,Delaware,2019,September,537
28,District of Columbia,2019,September,369
29,Florida,2019,September,15067
30,Georgia,2019,September,4420
31,Maryland,2019,September,1445
32,North Carolina,2019,September,5589
33,South Carolina,2019,September,2816
34,Virginia,2019,September,2403
35,West Virginia,2019,September,256
37,Alabama,2019,September,1423
38,Kentucky,2019,September,1158
39,Mississippi,2019,September,593
40,Tennessee,2019,September,3329
42,Arkansas,2019,September,906
43,Louisiana,2019,September,1436
44,Oklahoma,2019,September,1010
45,Texas,2019,September,16452
48,Arizona,2019,September,3302
49,Colorado,2019,September,3299
50,Idaho,2019,September,1194
51,Montana,2019,September,371
52,Nevada,2019,September,1378
53,New Mexico,2019,September,362
54,Utah,2019,September,2508
55,Wyoming,2019,September,163
57,Alaska,2019,September,193
58,California,2019,September,9920
59,Hawaii,2019,September,370
60,Oregon,2019,September,2013
61,Washington,2019,September,4121
0,Connecticut,2019,October,1136
1,Maine,2019,October,439
2,Massachusetts,2019,October,1195
3,New Hampshire,2019,October,252
4,Rhode Island,2019,October,102
5,Vermont,2019,October,145
7,New Jersey,2019,October,3786
8,New York,2019,October,3976
9,Pennsylvania,2019,October,1903
12,Illinois,2019,October,1746
13,Indiana,2019,October,1960
14,Michigan,2019,October,2298
15,Ohio,2019,October,1870
16,Wisconsin,2019,October,1763
18,Iowa,2019,October,1699
19,Kansas,2019,October,893
20,Minnesota,2019,October,3547
21,Missouri,2019,October,1808
22,Nebraska,2019,October,610
23,North Dakota,2019,October,203
24,South Dakota,2019,October,688
27,Delaware,2019,October,519
28,District of Columbia,2019,October,773
29,Florida,2019,October,15381
30,Georgia,2019,October,5876
31,Maryland,2019,October,1522
32,North Carolina,2019,October,6325
33,South Carolina,2019,October,3044
34,Virginia,2019,October,1933
35,West Virginia,2019,October,242
37,Alabama,2019,October,1403
38,Kentucky,2019,October,1265
39,Mississippi,2019,October,668
40,Tennessee,2019,October,4778
42,Arkansas,2019,October,951
43,Louisiana,2019,October,1489
44,Oklahoma,2019,October,1072
45,Texas,2019,October,19861
48,Arizona,2019,October,4032
49,Colorado,2019,October,4219
50,Idaho,2019,October,1610
51,Montana,2019,October,268
52,Nevada,2019,October,1699
53,New Mexico,2019,October,598
54,Utah,2019,October,2869
55,Wyoming,2019,October,162
57,Alaska,2019,October,130
58,California,2019,October,10176
59,Hawaii,2019,October,672
60,Oregon,2019,October,2405
61,Washington,2019,October,3768
