,0,year,mo,1
28,District of Columbia,2017,March,277
29,Florida,2017,March,9590
30,Georgia,2017,March,5152
31,Maryland,2017,March,1710
32,North Carolina,2017,March,6641
33,South Carolina,2017,March,2975
34,Virginia,2017,March,3072
35,West Virginia,2017,March,302
37,Alabama,2017,March,1393
38,Kentucky,2017,March,1051
39,Mississippi,2017,March,667
40,Tennessee,2017,March,3919
42,Arkansas,2017,March,785
43,Louisiana,2017,March,1483
44,Oklahoma,2017,March,982
45,Texas,2017,March,16550
48,Arizona,2017,March,3595
49,Colorado,2017,March,3471
50,Idaho,2017,March,1027
51,Montana,2017,March,511
52,Nevada,2017,March,1437
53,New Mexico,2017,March,396
54,Utah,2017,March,2554
55,Wyoming,2017,March,160
57,Alaska,2017,March,105
58,California,2017,March,10161
59,Hawaii,2017,March,303
60,Oregon,2017,March,1541
61,Washington,2017,March,3390
0,Connecticut,2017,April,253
1,Maine,2017,April,495
2,Massachusetts,2017,April,876
3,New Hampshire,2017,April,311
4,Rhode Island,2017,April,65
5,Vermont,2017,April,123
7,New Jersey,2017,April,1583
8,New York,2017,April,4168
9,Pennsylvania,2017,April,1777
12,Illinois,2017,April,2859
13,Indiana,2017,April,1792
14,Michigan,2017,April,2085
15,Ohio,2017,April,1761
16,Wisconsin,2017,April,1642
18,Iowa,2017,April,1065
19,Kansas,2017,April,701
20,Minnesota,2017,April,1973
21,Missouri,2017,April,1373
22,Nebraska,2017,April,588
23,North Dakota,2017,April,416
24,South Dakota,2017,April,535
27,Delaware,2017,April,565
28,District of Columbia,2017,April,374
29,Florida,2017,April,10962
30,Georgia,2017,April,3524
31,Maryland,2017,April,1380
32,North Carolina,2017,April,3877
33,South Carolina,2017,April,2477
34,Virginia,2017,April,2421
35,West Virginia,2017,April,245
37,Alabama,2017,April,1035
38,Kentucky,2017,April,933
39,Mississippi,2017,April,760
40,Tennessee,2017,April,2799
42,Arkansas,2017,April,1065
43,Louisiana,2017,April,1178
44,Oklahoma,2017,April,947
45,Texas,2017,April,13677
48,Arizona,2017,April,3255
49,Colorado,2017,April,3986
50,Idaho,2017,April,1178
51,Montana,2017,April,392
52,Nevada,2017,April,1771
53,New Mexico,2017,April,386
54,Utah,2017,April,1910
55,Wyoming,2017,April,196
57,Alaska,2017,April,182
58,California,2017,April,9622
59,Hawaii,2017,April,186
60,Oregon,2017,April,1071
61,Washington,2017,April,3838
0,Connecticut,2017,May,402
1,Maine,2017,May,365
2,Massachusetts,2017,May,1840
3,New Hampshire,2017,May,296
4,Rhode Island,2017,May,113
5,Vermont,2017,May,180
